,Sentence,Polarity_Classification
2506,Sono rimasto deluso nello scoprire la fine del libro,Negativa
2507,"Troppo da fumetto però l'inseguimento, in particolare alcune scene, tipo l'inseguimento del giaguaro..",Neutra
2508,Voto: 3.,Negativa
2509,) anke se nn lo ho ankora visto tutto sembra molto interessante certo oggi non sara come un po di tempo fa ma piace lo stesso.,Positiva
2510,film da rivedere più volte x divertirsi e passare ore spensierate in compagnia della genuinità del trio che ci ha imparato a far ridere con la quotidianità delle cose.,Neutra
2511,"Tuttavia, Smith è un formidabile scrittore di prosa, uno dei migliori in circolazione nella narrativa di genere",Positiva
2512,"A Portland scompare anche una bambina di nove anni, ma viene ritrovata a poche miglia di distanza",Neutra
2513,"Un film duro, in cui si osservano i giorni dell'odio lasciare il posto a quelli di un amore altrettanto distruttivo perchè privo della capacità di comprendere l'altro, la sua vita, la sua verità.",Positiva
2514,L'unica scena decente è quando finalmente mandano a quel paese la vecchia.,Negativa
2515,Il grado ironico di questo film è tale da non cadere mai nell'idiozia!,Positiva
2516,"Liz è un po' più estroversa e popolare, che organizza un doppio appuntamento con Maggie con lei e Sean",Positiva
2517,"Solfrizzi recita bene in quasi tutto il film ma delude nelle scene importanti(quando si batte il petto e piange urlando ""è colpa mia"" è il massimo della comicità: se era questa l'intenzione del regista porgo tutte le mie scuse, ma a me l'intento era sembrato ben altro).",Neutra
2518,Come si equilibreranno il bene e il male? Leggi questo libro per scoprirlo,Positiva
2519,Molto piacevole,Positiva
2520,"In questo primo libro della serie, Keys to the Kingdom, troviamo Aurther Penhaligon, una studentessa di seconda media che si è recentemente trasferita in una nuova e strana casa",Neutra
2521,"""Mister Monday"" mi ricorda più ""The Ragwitch"" in quanto un ragazzino senza alcuna formazione scopre di essere il legittimo erede di un regno improbabile (l'Universo) ed è anche l'unica persona sulla Terra che può fermare/curare il piaga più recente e mortale",Neutra
2522,Basta!!,Negativa
2523,Certamente la sua bellezza lo aiuta notevolmente ma se fosse SOLO bello e non bravo di sicuro non avrebbe il successo che ha.,Positiva
2524,Vale la pena dedicare del tempo a leggere questo,Positiva
2525,Sono esseri simili a uomini con la faccia e i denti di un cane,Neutra
2526,"Mi è piaciuta la storia, ma mancava dei dettagli e della profondità che si possono trovare in Tolkien e Rowling",Positiva
2527,Il materiale di riferimento in questo libro è molto buono e numerosi esempi sono stati selezionati per supportare ogni teoria presentata,Positiva
2528,schifo totale il mio commento,Negativa
2529,"All i'll have to do is dream... Meraviglioso,non smettete mai di sognare,neanche se dovste rimanere incinta a 15 anni... perchè i sogni si avverano sempre se uno ci crede davvero...",Neutra
2530,L'intera cosa fondamentale è stata una buona idea,Positiva
2531,"Bello...però che fame A parte gli scherzi, il film è veramente bello,ma...fa venire una gran voglia di cioccolata",Positiva
2532,"L' amore che supera ogni ragionevolezza, diventando un male, egoismo... Impressionante il muro con scritto ogni singola data di ogni singolo giorno trascorso da Vera in quella stanza.",Neutra
2533,"per fortuna non l'ho pagato,perché avuto in prestito.",Negativa
2534,"inoltre il fatto che venga ritenuto da molti patriottico è perfettamente vero e questa è l'unica cosa che salvo del film in quanto veder sventolare la sacra ""old glory"" è sempre un piacere e una commozione, dio benedica l'america e gli uomini e le donne che la difendono in questi difficili momenti e con il suo aiuto vinceremo anche queste battaglie e la ""old glory"" tornerà a sventolare vincente su new york e sull'america.",Neutra
2535,"La storia non ha una trama, non è pianificata bene, i personaggi non sono descritti bene ed è principalmente un narratore che racconta la storia",Negativa
2536,"Diabola inizia allora ad amare la scuola, e soprattutto il disegno",Positiva
2537,"Capone non era un membro del gruppo mafioso, ma conosceva i loro principali leader",Neutra
2538,"E poi, un merito ce l'ha comunque: ma ha portato a leggere il libro di Henry James, non è poco!",Neutra
2539,Un classico della fantascienza Il film è da vedere.,Positiva
2540,Angela è descritta come una bambina meravigliosa che diffonde gioia e felicità ovunque vada,Positiva
2541,"Spesso viene confuso con immagini travolgenti, forse per compensare la mancanza di trama di tanto in tanto",Negativa
2542,"vengono quindi liberati tre o quattro detenuti,sembra fossero dei terroristi,che non fanno altro che insultarsi e litigare fra loro,insomma..........un film senza costrutto""  il carcere non c'entra niente nel film,il titolo è fuorviante,la trama pessima e piena di errori grossolani.",Negativa
2543,Strane creature dalla faccia di cane dei Regni Secondari chiamate Fetchers che sono state inviate a recuperare la chiave da Mister Monday,Neutra
2544,"Niente male, ma Microcosmos è un'altra cosa!",Positiva
2545,Questa sembra essere un'offerta che non può rifiutare,Neutra
2546,Mi aspettavo un po'di più.,Neutra
2547,"del cast fanno parte: breckin meyer (il fratello attore di meg ryan in kate & leopold), jennifer love hewitt (heartbreakers) e il caratterista stephen tobolowsky   nella versione originale la voce di garfield e' di bill murray, nella versione italiana e' di fiorello.",Positiva
2548,E poi Alex chi è?,Neutra
2549,"Quindi spero che questo film sia l'inizio verso un periodo migliore per il mondo horror, che magari inzierà a produrre horror con trame diverse e basta splatter, davvero stufano!",Positiva
2550,"(Credibile Francesco Salvi in versione drammatica, non me lo sarei aspettato!",Positiva
2551,"Migliore trasposizione da videogioco a film Hitman credo sia finora il migliore film tratto da videogioco, trama ben congeniata e adattata, azione immancabile e interpretazione di Olyphant perfetta come nel videogioco compreso vestiti e armi.",Positiva
2552,E il suo compito lo fa bene.,Positiva
2553,) Sento anche che c'è troppa generalizzazione: l'autore non dà molto credito alle scelte individuali &amp; sentimenti,Negativa
2554,"In My Darling, My Hamburger, parlano di molti argomenti tra gli adolescenti di oggi",Neutra
2555,"ricchi di beni materiali  e di belle parole, ma aridi dentro.",Neutra
2556,Che roba....    Ciao!,Neutra
2557,Non ho idea se fosse solo il mio libro con questo problema,Negativa
2558,"Una delle più grandi scene d'azione è quando Arthur e Mister Monday stanno litigando, la descrizione era così vivida che pensavo di guardarli tutto il tempo",Positiva
2559,"Ora, è semplicemente una buona lettura che avrebbe potuto essere fantastica",Positiva
2560,È la storia di un ragazzo delle scuole medie di nome Arthur,Neutra
2561,"La violenza non mi è semnbrata poi così eccessiva, e le polemiche mi sembrano del tutto gonfiate ad arte.",Neutra
2562,"Se non vedete i soliti attoroni di Holliwood mono-espressioni sul cartellone pubblicitario cambiate film, grazie!",Neutra
2563,"Credo fermamente che questo libro non sia solo una lettura per donne, ma anche per uomini",Neutra
2564,ed è stato amore.,Positiva
2565,Questo è un grande mistero,Positiva
2566,"McDermid si concentra troppo sul lato del libro di Carol Jordan, e non abbastanza sull'aspetto del serial killer della trama, che è ciò per cui è conosciuta e ciò che sa fare meglio",Negativa
2567,"2 ore e mezza buttate via assolutamente al di sotto delle mie aspettative... gli attori sono senza dubbio eccezzionali e fino a un certo punto del film era tutto chiaro... ma poi il finale... veramente un finale così brutto non mi era capitato mai di vederlo in nessun film... poichè il finale non ha assolutamente senso, automaticamente non ha senso neanche il film.",Negativa
2568,era meglio lasciarlo riposare in pace.,Neutra
2569,"È anche un'ottima lettura per gli adulti, come ho scoperto durante la lettura",Positiva
2570,Ciao!,Neutra
2571,È un romanzo molto divertente e tutti i fan di McDermid lo apprezzeranno,Positiva
2572,Il libro 1 parla di un ragazzo di dodici anni di nome Arthur Penhaligon che ha l'asma,Neutra
2573,"emozionante a me è piaciuto molto invece certo mi sarei aspettata una scena più lunga della prima volta ma va bene così,gli attori hanno recitato benissimo e inoltre la seconda parte è piena di colpi di scena.",Positiva
2574,Che bello!,Positiva
2575,Il finale è pessimo oltre che ridicolo.,Negativa
2576,Probabilmente la migliore biografia che tu abbia mai letto,Neutra
2577,"bel thriller thriller ke si svolge nell ambiente studenteso, bel film nel suo genere.",Positiva
2578,solo la donna in yesman .,Neutra
2579,"Nonostante l'inquadratura di copertina, questo libro non è contro il matrimonio",Neutra
2580,"Arthur Penhaligon è un classico eroe YA: asmatico, intelligente e anticonformista",Neutra
2581,"Sfortunatamente, poiché è un libro per bambini, manca lo sviluppo della storia che trovo così affascinante negli altri suoi libri",Negativa
2582,"meraviglioso E'davvero un capolavoro!Meraviglia per gli occhi!E l'autentico eroismo dei personaggi ha molto da insegnare alla nostra civiltà.Per non parlare dell'assoluta bellezza delle protagoniste:un esempio altissimo di femminilità che coniuga eleganza,forza interiore,fisica e coraggio:prendere esempio!Non capisco chi trova ridicoli i duelli..è ovvio che non siano realistici!Sono una rappresentazione visiva di qualcosa che trascende il reale e avviene soprattutto a livello della mente..molto comune nella cultura orientale.Per quanto riguarda la lentezza..non è lento!Ma dico,non si trtta di un film di pura azione,è impregnato della cultura e filosofia orientali che di certo non sono cratterizate da frenesia!Al contrario!",Positiva
2583,Lacunosa commedia all'italiana.,Negativa
2584,?,Neutra
2585,il miglior western di sergio leone che dire di questo capolavoro assoluto che non sia gia' stato detto?,Positiva
2586,Ma è anche una congiura politica.,Neutra
2587,"non mi ha trasmesso nessuno emozione, nessuna paura!",Negativa
2588,Il miglior   testamento di una fede finalmente tangibile e reale dove la fede   cola sul corpo come il sudore e l'unico giudizio finale può essere dato dalla palla e dal canestro...attenti comunque al vento ( capirete quando l'avrete visto ).,Positiva
2589,"E' un film lento, introspettivo, asciutto e a volte anche irritante.",Negativa
2590,Mezzogiorno con la sua grande spada infuocata e Arthur con la sua spada a orologio,Neutra
2591,La storia non era molto bella e i personaggi erano fragili,Negativa
2592,"Mostrano i 3 bug attualmente in discussione (piccolo, più piccolo, più piccolo, per esempio) in giustapposizione che rende facile parlare dei concetti",Neutra
2593,"Bisogna dirla tutta: da qualsiasi parte lo si guardi, film di denuncia o horror coccodrillesco, Paura Primordiale fa acqua; e non solo perché è ambientato su un fiume.",Negativa
2594,"Anche la chiassosa e sterminata New York ci appare più umana, quasi una piccola cittadina di provincia.",Neutra
2595,"Non fraintendermi, il libro aveva una trama come nessun altro, i suoi personaggi (o i cattivi) erano descritti in un modo che non potevi perderli e",Positiva
2596,Parla di uscire col botto! L'intero libro è un grande inganno e Poirot è il più grande ingannatore di tutti,Negativa
2597,"Jet Li ha superato Romeo deve Morire, oltre che Amici per la Morte.",Neutra
2598,"Devo ammettere che questo film mi è piaciuto veramente molto, non mi sarei mai aspettato che il prosequio della storia sarebbe finito come chi ha guardato questo film, ha potuto vedere!",Positiva
2599,"Ma le migliori intenzioni non bastano al figlio, che anima una brutta copia delle opere del padre, banalizzandone il relativismo morale, trascurando le qualità caratteriali dei protagonisti...però tutto sommato è vedibile...",Negativa
2600,Il libro di Kingston inizia con una descrizione del matrimonio del principe Carlo e della principessa D e di una sorta di soggiorno lì,Neutra
2601,Non mi stupisce che questo film sia anche teatrale perchè ha dei monologhi e dei passaggi di peso tra gli attori bellissimi.,Positiva
2602,Questo libro è ricco di dettagli e non è così breve,Negativa
2603,"Ora vi do la mia modesta opinione: il film è una sbavatura di Magdalene,con alcune citazioni di Bergman( vedi Sussuri e Grida), poi trattata il sesso lesbo e acerbo, quasi evasivo tra 2 collegiali, quello violento, da stupro tra un ufficiale e una collegiale,ma tutto veramente senza ragione,infatti la sceneggiatura è abbastanza confusa( ci sono dei buchi).",Negativa
2604,"Ecco perché, un paio di anni fa, si erano trasferiti in questo piccolo borgo idilliaco di montagna sul lato est delle Cascades dal sud della California, dove avevano incontrato &amp; sposato dieci anni prima",Neutra
2605,La caduta del padre dalla torre avviene in tempo reale.,Neutra
2606,"Pero' signori, se questo film lo mettiamo in parallelo a capolavori di Verdone come ""maledetto il giorno che t'ho incontrato,"" e/o ""al lupo al lupo"" (per citarne due), diventa un filmetto in stile ultimo Pieraccioni.",Negativa
2607,"In pratica, prende il personaggio principale e gli fa compiere le classiche cose che fanno gli orfanelli nei romanzi.",Neutra
2608,"Bisogna entrare nell'ottica della comicità dei griffin, se non ci siete abituati vi perdete la sostanza:)",Positiva
2609,Il suo viaggio.,Neutra
2610,"La trama veloce e intensa rende il libro assolutamente accattivante, poiché Arthur scopre quanto sia profonda la sua avventura",Positiva
2611,inoltre è troppo lungo !,Negativa
2612,"un uomo (il grandissimo Bruce Willis) di 40 anni crede di avere tutto dalla vita; fascino, soldi, potere, donne.",Positiva
2613,Lo sconsiglio.,Negativa
2614,"A me è piaciuto moltissimo il discorso del presidente prima dell'attacco finale, dove dice che il 4 luglio non sarà piu ricordato solo come una festa americana ma come una festa mondiale.",Positiva
2615,"guarda ki c'e', Mikey Rourke, a mio avviso azzeccato nella sua parte e poi davvero una bellissima Rachael Leigh Cook (presto foto nell'album ""foto attori & attrici"") ke conosco solo ora; dicono sia la nuova Natalie Portman..embè?",Positiva
2616,)  malinconico il finale.,Neutra
2617,"si, si... bello... Adesso aspetto ""trivella"" della controparte maschile oppure ""buco nero""!",Negativa
2618,Il meglio del meglio,Positiva
2619,"Lasciate stare non sto a dilungarmi troppo, speravo alla fine di riuscire a dare un voto che potesse stravolgere la media, ma anzi...il sei è fin troppo.",Negativa
2620,"Questo autore ha fatto entrambe le cose e ha aggiunto una trama che, come altri hanno sottolineato, diventa sempre più inquietante in ogni pagina, tanto che mi sono ritrovato in piedi davanti a un passaggio pedonale in pieno giorno a pensare: ""Ho davvero bisogno di iniziare a pagare più attenzione a chi mi circonda",Positiva
2621,"Esiste attualmente la possibilità di creare il primo uomo bionico, steve austin sarà più forte, più veloce.",Neutra
2622,"Ci sono film come ""Le ali della libertà"" e ci sono film come questo, di pura evasione (bello il gioco di parole, noo???).",Positiva
2623,"Sono molto contento di averlo fatto, perché questo libro si è rivelato molto più di quanto mi aspettassi",Positiva
2624,"Un viaggio nel futuro ignoto Nove volte su dieci i paragoni dei remake con gli originali sono alquanto impietosi, riuscendo spesso i primi a svilire con una pretesa patina di modernità l'originalità dei secondi.",Neutra
2625,"Il libro è un'ottima lettura fino alla fine, così raro nella saggistica",Positiva
2626,bel montaggio e fotografia.,Positiva
2627,ottimo tutto il cast.,Positiva
2628,"Le sue evidenti qualità (compresa la recitazione, con Sellers su tutti) la rendono inossidabile, per cui si può parlare non di una Lolita di Nabokov diretta da Kubrick, ma di una Lolita di (Nabokov e) Kubrick.",Neutra
2629,"La sceneggiatura ha il livello di raffinatezza che ci si attenderebbe da un tema delle elementari, solo più infarcita di volgarità, mentre la trama è, essanzialmente, un mezzo per collegare tra loro gag di dubbio gusto.",Negativa
2630,"La trama è estremamente semplice, poco coinvolgente, sembra essere un insieme di idee scaturite da un brainstorming e rattoppate assieme per creare una storia accettabile.",Negativa
2631,Consigliato anche ai non amanti del genere.,Positiva
2632,"Tuttavia l'ho trovato profondamente diseducativo, in una manciata di parole ""cosa sarebbe la scuola se fosse una specie di ostello ripieno di sfaticati irresponsabili parassiti sociali"".",Negativa
2633,"Ora Arthur inizia a vedere cose che non aveva mai visto prima, e deve entrare nella postierla di lunedì per raggiungere la casa, afferrare la lancetta delle ore per completare la chiave e prendere il controllo di 1/7 della potenza della casa",Neutra
2634,"In conclusione ottimo film ed ottima prova per la regia dove si vede il tocco ""liftato"" di Roland Emmerich (anche se il regista è un certo Rusnak) anche produttore del film... sicuramente molto più riuscito di altri suoi blockbuster come 2012 o IndipendenceDay, anche se purtroppo ha incassato indiscutibilmente meno ed è molto meno conosciuto.",Positiva
2635,Altamente raccomandato,Positiva
2636,?,Neutra
2637,"Io ho avuto la netta sensazione che i protagonisti avessero già smesso di amarsi senza saperlo, e che la follia degli eventi l'abbia solo portato alla luce.",Neutra
2638,Avrei gradito un po' più di dettagli sui luoghi,Negativa
2639,"Anche così, vale la pena leggere questa serie",Positiva
2640,A questo modo non si va da nessuna parte.,Neutra
2641,"Medio Kate Hudson è irreale: in certi momenti sembra un angelo dipinto da Da Vinci o da Michelangelo il che va benissimo perchè vederla ti attiva sicuramente la circolazione, però uno si domanda come lei che per tutto il film va lamentandosi di non avere mai tempo per nulla, trovi sempre il tempo per avere i capelli freschi di parrucchiere.",Negativa
2642,"Angela e Diabola parlano di due sorelle, una molto angelica e una molto, molto diabolica",Neutra
2643,"Dico così di Eli perché non solo l'ho conosciuto come un carissimo amico -come i primi due- (stava sempre con me), ma anche perché... mi ha pagato -benissimo- per uccidere il Padrino, anche se nella scena del mio sparo a lui diretto (girata a N.Y.) qualcuno mi ha urtato, mandando la mia pallottola a sfiorare Al ma ad uccidere Sofia (per questo Diane K. mi odia...).",Neutra
2644,"Jack Whalen, un pensionato L",Neutra
2645,Cuthertson-Jones ha capito che Angela e Diabola possono bilanciarsi solo stando insieme,Neutra
2646,"Si ride poco o niente fino al solito finale buonista e stereotipato,che oramai va annoverato tra le caratteristiche del genere (sembra che gli autori di questi cartoni,proprio perchè di cartoni,non riescano ad essere ""cattivi"" fino in fondo).",Negativa
2647,Una splendida  coppia di coniugi Tra situazioni e battute esilaranti si sviluppa una delle commedie più divertenti che abbia mai visto: La strana coppia di Neil Simon.,Positiva
2648,Pessime idee le sue.,Negativa
2649,l'esistenza quotidiana come schiava,Neutra
2650,"È stato un libro meraviglioso, che ti catturerà dall'inizio",Positiva
2651,"Ma una cosa sui libri di Poirot, e questa non fa eccezione, può sicuramente essere letta e goduta di nuovo",Positiva
2652,"Non sarà verosimile nelle piccole situazioni e forzato in certi dialoghi ma il cinema non è stato inventato e sviluppato solo per questo, altrimenti guardatevi i film di Truffaut e Kurosawa che vi divertite.",Positiva
2653,Beh..il primo è sempre il primo!,Neutra
2654,Roba pazzesca che ti farà leggere,Positiva
2655,"razzista credo che si tratti di uno dei film peggiori che abbia mai visto.trama senza nè capo nè coda,protagonista senza grinta nè talento,personaggi secondari stucchevoli(il piccolo che si redime dallo spaccio è patetico)e un'insensata overdose di buonismo.ma il peggio è che questo film è profondamente razzista.",Negativa
2656,"Sinceramente non capisco che genere di film sia in quanto certamente non è un film di guerra (cage stermina giapponesi come i cowboy sterminavano i bisonti; non so se rendo), per essere un film di azione è troppo lento e assurdo.",Negativa
2657,"La regia è piuttosto efficace, tanto da garantire un certo interesse nello sviluppo della vicenda che, tuttavia, naufraga in un finale piuttosto mediocre.",Neutra
2658,"Molto bello il contrasto tra psicologia e paranormale che si fondono insieme, tra fede e scetticismo della protagonista che cerca di dare spiegazioni razionali che a sue spese scoprirà essere infondate...  Il finale sarebbe potuto essere decisamente più originale!",Positiva
2659,"L'autore sembra aver provato diverse ambientazioni (poliziotti vittoriani e una sorta di universo di Bob Cratchit, insieme a dinosauri, angeli buoni e cattivi e uno stabilimento balneare romano davvero puzzolente e terrificante), quindi non ha voluto scartare nulla",Negativa
2660,Qualcuno di voi ha mai letto Dagon di H.P.Lovecraft?,Neutra
2661,Purtroppo dobbiamo rispettare anche le opinioni insulse come la tua perchè questo film di ridicolo non ha proprio nulla!,Positiva
2662,"A volte è anche piuttosto emotivo, ad esempio quando Angela incontra questi strani sentimenti in cui sente di dover essere vicino a Diabola.",Positiva
2663,Quindi Diabola disegna un quadro orribile e il preside pensa che Diabola sia un genio,Positiva
2664,esilarante le gag non mancano e il trio splende!,Neutra
2665,"e' proprio carino, intelligente sia nella rappresentazione del mondo omosex che non è solo quello pieno di luoghi comuni che spesso ci propinano, ma soprattutto attento al lato sentimentale.",Positiva
2666,Bravissimo l'attore Marlon Wayans che interpreta il nano criminale Calvin Sims.,Positiva
2667,Questo è resident evil!,Neutra
2668,Scusate ma chi ha dato più di 3 stelle: l'avere visto il film?,Negativa
2669,"E, infine, fin troppo lungo.",Negativa
2670,credo di si..e come tale deve essere presa..e allora vedrete che risulterà sicuramente piacevole..brillante..romantica..e senza punti morti..!!,Positiva
2671,Incompreso?,Neutra
2672,a me è piaciuto parecchio!,Positiva
2673,da vedere per passare 2 orette e x la bravura degli attori: l'ormai conosciutissimo douglas e la fenomenale interpretazione della ragazza malata.,Positiva
2674,Assolutamente da vedere.,Positiva
2675,"Sedici episodi sono pochi, rispetto ai ventisei de ""L'Uomo Ragno"" del 1981 e i ventiquattro de ""L'Uomo Ragno e i suoi fantastici amici"", prodotti dalla stessa casa di produzione (la ""De Pathiè-Freileng""), eppure questa giornalista ficcanaso con la coda di cavallo, lo sguardo furbo e le scarpe coi tacchi alti è difficile da dimenticare, specie quando esclamava ""Tarantole tremanti"".",Neutra
2676,"Che dire del cast, sembrano messi tutti al posto giusto Kevin James in primis, ma non da meno sono Will Smith (che si conferma grande attore) e la bellisiima Eva Mendes, insomma non un capolavoro ma un film da vedere se si vogliono fare quattro risate senza troppo impegno.",Positiva
2677,", ammetto di essere entrato a Mister Monday con aspettative piuttosto alte",Neutra
2678,Questo libro è il secondo di Paul Zindel ed è stato pubblicato per la prima volta nel lontano 1969,Neutra
2679,"Era tantissimo tempo che non vedevo 1 film cosi' bello !basato sul vero valore dell'amicizia, tratto da una vera e crudele realta' di vita (le dure leggi thailandesi), ti emoziona dall'inizio alla fine.",Positiva
2680,cult?,Neutra
2681,"Angela significa angelo, ed era ovviamente quella buona",Positiva
2682,Tutto!,Neutra
2683,")di 30 anni, come sempre isterica (beh è la Mezzogiorno!!",Neutra
2684,"ottimo Ottimo film, ben costruito una storia che fa riflettere, come le vostre opinioni alquanto opinabili al riguardo dell'opera.",Positiva
2685,"Vuole solo essere un bambino normale con una vita normale, ma viene risucchiato in questo mondo di magia e mistero, a cui non può sfuggire",Negativa
2686,per tutti gli altri:dovete andare a vederlo...  e' pura arte  cominciate a sognare,Positiva
2687,Riesce a creare personaggi ricchissimi che suscitano una grande empatia con il lettore,Positiva
2688,"Naturalmente Arthur vuole concentrarsi sulla cura della peste, dal momento che la sua stessa famiglia è coinvolta",Neutra
2689,"Occorre, a mio avviso, uno schermo maggiormente panoramico rispetto a quello normale e inventare situazioni più brillanti per lo sfruttamento di questa tecnica.",Neutra
2690,"Risate ""hysteriche""  delle donne in sala!",Neutra
2691,"Leggi il libro per scoprire cosa succede!! Mi è piaciuto il libro perché parlava di adolescenti, quindi ho sentito di potermi relazionare con la storia",Positiva
2692,Parto un po' con le mani avanti!,Neutra
2693,Questo è il terzo romanzo che leggo di Val McDermid,Neutra
2694,"Questa guida riccamente illustrata e informativa offre ai fan informazioni aggiornate sulla stagione 1995-96, storie di superstar e squadre, statistiche e altro ancora",Positiva
2695,Mi piace anche questo libro perché era divertente e parlava di qualcosa che non accade tutti i giorni,Positiva
2696,Nel film non viene quasi neanche nominato il fratello!,Neutra
2697,"Come tale, rivendico un diritto a cui pochi ricorrono : nello scrivere questa opinione, rimango in dubbio se dire che il film mi sia o meno piaciuto.",Neutra
2698,"La sottotrama del ""serial killer"" non è così avvincente come avrebbe potuto essere, basandosi sulla coincidenza di Tony che conosce una delle vittime",Negativa
2699,"Non del tutto soddisfaciente è il trucco, soprattutto nella realizzazione dei cadaveri causati dal colera, che sembrano veramente dei manichini.",Negativa
2700,"Pessimo film con trama banale e non sviluppata, dialoghi noiosi.",Negativa
2701,"Ottimo libro, dai un'occhiata;",Positiva
2702,Ha davvero una buona morale,Positiva
2703,"Angela è molto eccitata, ma Diabola è annoiata e cupa",Neutra
2704,"Il che è interessante in modi che verranno rivelati una volta letto il libro, ricordando che ""Prometheus"" significa ""Previsione""",Positiva
2705,"Tra episodi al presente, che dimostrano l'irritabile impegno di Ben per la propria estinzione, apprendiamo della sua infanzia nel paese delle mele di Washington, della sua traumatica esperienza di guerra nelle Alpi italiane e dell'inizio della sua vocazione",Neutra
2706,"Cuthbertson-Jones, la loro madre, che dà alla luce i gemelli",Neutra
2707,ho visto il film in islandese coi sottotitoli in inglese per cui potrebbe essermi sfuggito qualcosa.,Neutra
2708,"la proposta di una nuova scena la critica di Altobelli, che si tratti di un gioco delle parti che però finisce, nell'altalenante interesse suscitato dalla trama, per mancare il bersaglio e che finisce per deludere le aspettative e', a mio avviso, troppo soggettiva.",Neutra
2709,Musiche stupende del solito Don Davis e anke se nn è in computer grafica le animazioni sono bellissime.,Positiva
2710,Carol e Tony (ex amanti) sono perseguitati dai ricordi di un'indagine penale passata,Neutra
2711,&lt;br&gt;Ecco quando Arthur si risveglia alla realtà del suo sogno,Neutra
2712,"Preferibile la versione gerini rocchettara lesbica ma non troppo,visto che non lascia cadere comunque la sua femminilità aggressiva,che quella imbalsamata e poco credibile sotto la parrucca bionda!",Positiva
2713,E' la vita.,Neutra
2714,"Come molta gente fa, e credo ci sia un monito in questo film, si perdono di vista le cose importanti della vita per dedicarsi solamente al lavoro, agli affari per poi accorgersi dell'errore, perpetrato magari per anni, solo troppo tardi.",Neutra
2715,"Ma oltre a questo, è stato FANTASTICO!!! Per chi di voi ha una sorella o un fratello con cui non va d'accordo, leggete questo libro e guardate indietro alle vostre argomentazioni e dite a voi stessi che erano MINORI!!!! Inoltre se vuoi solo un libro da leggere, questo sarebbe quello giusto!!!",Positiva
2716,"Nel complesso, ho trovato questo libro più che adeguato",Positiva
2717,"Avventura, romanticismo e ironia tutto sorretto da musiche molto belle ma qualche debolezza nella sceneggiatura.",Positiva
2718,"Chiaramente Guterson ha svolto le sue ricerche fino all'ultimo proiettile vagante, ma c'è una sensazione di seconda mano nel materiale, che sembra meno un segno del distacco di Ben che quello dell'autore",Neutra
2719,Non potevo mettere giù l'ultimo di Michael Marshall,Neutra
2720,Il quarto thriller psicologico di Michael Marshall Smith (che scrive con il suo pseudonimo troncato) è un allontanamento dal suo universo di Straw Men,Positiva
2721,E ne ho visti veramente tanti!!,Negativa
2722,L'indagine sull'omicidio di Hill alla fine lo porta a Berlino,Neutra
2723,"Inclassificabilmente brutto Film brutto, lento, senza ne' capo ne' coda.",Negativa
2724,"Quando la moglie di Jack, Amy, riappare come se niente fosse, ma inizia a comportarsi un po' ""non Amy"", si ritrova in una squadra a disagio con il vecchio amico, Fisher, che cerca di scovare la verità dietro un gruppo oscuro i cui membri sembrano nascondere alcune cose davvero strane",Neutra
2725,E i brividi non mancano!,Positiva
2726,il mio film preferito subito dopo trainspotting.,Positiva
2727,Ma dalle ultime battute si intuisce un seguito.,Positiva
2728,"Cosa potrebbe esserci di più innocuo di una piccola chiave? Ma aspetta, la chiave sembra avere un effetto terrificante sul mondo poiché porta con sé una piaga",Negativa
2729,Voto 6,Neutra
2730,"Un lunedì mattina, Aurther è in palestra nella sua nuova scuola e ha un attacco d'asma mentre stavano scappando",Neutra
2731,Questo libro affascinante mostra una grande moderazione immaginativa,Positiva
2732,Questo è un ottimo libro per insegnare le relazioni dimensionali e alcune parole di lettura di base,Positiva
2733,"Ti prende per il bavero e ti dà questa teoria finché non raggiungi un punto in cui vorresti solo schiaffeggiare via le sue mani, è così insistente",Negativa
2734,"Kusturica è un genio del cinema: folle, visionario, estremante coraggioso (ricordate le polemiche di ""Le Monde"") nel trattare un argomento così spinoso e delicato come la guerra dei balcani in un momento così cruciale.",Positiva
2735,"e' una storia di donne che quindi potrebbero apprezzare di più le donne, ma gli uomini potranno deliziarsi con le gambe di brittany che nel film non indossa altro che mini gonne o vestitini.",Neutra
2736,"ebbene sì, è l'unico merito, ma bisogna anche inserirlo in un bel film in cui l'emozione (e non le scene hollywoodiane)la faccia da padrona....non in un patetico tentativo di voler fare a tutti costi bella figura agli oscar con un lavoro denso di una noia mortale, privo di emozioni di rilievo (salvo solo il pianto liberatorio di kim rossi stuart).",Negativa
2737,"Invece, il povero rettile si trova ad essere un comprimario nella sua stessa storia.",Negativa
2738,Ma lo è anche Angela,Neutra
2739,"Fidatevi di me Il film è davvero bello...non concepisco i voti sotto il 7..ragazzi..è una pellicola rilassante con una trama stupenda, alla fine ti lascia dentro un senso di pace e serenità indescrivibile.",Positiva
2740,uno dei più dolci un film emozionante che lascia senza parole....  forte e dolce allo stesso tempo....  un film che fa piangere....ma che fa capire tanti valori.,Positiva
2741,"8,5. visto però che 8 mi sembra poco, gli do un bel 9.",Positiva
2742,Ho così scoperto una cosa che rende più bella la vita: la magia!,Neutra
2743,"Arthur, e un ragazzino che non era atletico e aveva problemi di asma, hanno salvato il mondo intero con la sua chiave",Positiva
2744,"Bellissima la scena iniziale della macchina nera che esce dalla galleria, quasi a voler essere un mostro che sbuca dalla sua tana.Favolosa anche quella in cui la macchina viene tenuta al di fuori del cimitero.",Positiva
