,Sentence,Polarity_Classification
674,'Tadzio' has more chemistry with Carol,Neutra
675,The girls grow up into toddlers and Diabola becomes even worse while Angela became sweeter,Neutra
676,They soon discover that they have special powers,Neutra
677,"if you don't read this book then you will never read a book  that has sadness, badness, goodnes, and lotsof other things, all mixed  together",Neutra
678,But when a fight emerges between the two figures - Mister Monday and Sneezer - they both disappear without any further regard to Arthur,Neutra
679,McDonald has found new energy in Skylar,Positiva
680,The Intruders is a tale that will appeal to readers who want an engrossing thriller with other-worldly tones,Positiva
681,"It also offers a different version of the afterlife, as in it doesn't exist",Neutra
682,The story is basically a double romance but Zindel has too much of a grip on the ugliness of life to describe the book as 'romantic,Neutra
683,"This was due to a sadistic teacher who forced him to run a cross-country course, resulting in a near death experience, during which he encountered the unlikely duo of Sneezer and Mister Monday",Negativa
684,"I definitely recommend reading this book, though I feel it is a touch lower than Garth Nix's Sabriel and Seventh Tower",Positiva
685,I recommend this book to anyone and everyone,Positiva
686,"It is in ""The House"" that Arthur makes friends with Suzy Turquoise Blue, and learns from ""The Will"" of his true destiny and has his final showdown with Mr",Neutra
687,"What subsequently follows is history: the German subjugation of the rest of Czechoslovakia and the invasion of Poland, the German-Soviet non-aggression pact, the Phony War, the Soviet invasion of Finland, the British military's Norwegian fiasco, and the crisis in His Majasty's government in May 1940 that ultimately elevated Winston to the premiership",Neutra
688,"It is a great book for children, to help them start on a path to learning size relationships",Positiva
689,Diabola tries,Neutra
690,"ANyway, the book was action packed and very fast paced",Neutra
691,I recommend that anyone looking to have some mischievous fun at chess  should take up the the Budapest as an occasional surprise weapon,Neutra
692,The author knows how to make the characters come alive--I felt like I was an active observer/participant so easily,Positiva
693,"Arthur now becomes the target of increasingly frightening attacks by mysterious men, some with faces that resemble dogs, and a new illness known as the ""sleepy plague"" appears in his town",Neutra
694,"Arthur has to go to a foreign realm and defeat an enemy that has so much more power than he does, if Monday was a T-Rex then Arthur would be a blade of grass compared to him",Neutra
695,This part of the story would seem more original if it hadn't been done just last month in the techno thriller HOOKED,Negativa
696,He must confont the sloth Mister Monday in order to gain mastery of the lower house and save his world,Negativa
697,"Unfortunately, the author chose to describe Capone's effect on the world in seven pages",Negativa
698,"I tried several time to do pick it up and continue, but finally just gave up and put it down",Negativa
699,"The characters do their job, i",Positiva
700,This book explores the manner in which European - well British anyway - people became familiar with India from the 1700s on,Neutra
701,"But when he publishes a novel of such quality as THE INTRUDERS, one remembers that any book of his is worth the wait, no matter how long it may be",Neutra
702,This is one of the worst books I've read in a long time,Negativa
703,""" Arthur has already saved my world from the Sleepy Plague and I'm not particularly taken with the rest of Nix's mixed-up Universe",Negativa
704,After that Diabola starts acting even more diabolic,Negativa
705,"The real plot involves Carol, her relationship with Tony, and a sting operation that is completely unbelievable",Neutra
706,"Aimed at every budding trekker, this is essential advice on where to go and what to take to ensure that you come back in one piece",Positiva
707,"The cast of characters in this sweeping story by Michael Dobbs of political maneuvering, skullduggery, and backstabbing is an historical Who's Who of the times: the ailing, haughty, and pacifist Chamberlain, who personifies England's bitter memories of the Great War and the popular concept of ""never again""; the ambitious and self-absorbed Churchill, whose pugnacity sometimes clouds prudence; the defeatist, philandering, and anti-Semitic U",Negativa
708,"Now the first and least fragment of the Will has escaped, and it is helping Aurther",Neutra
709,"Garth Nix did a great job, and I can't wait to read Grim Tuesday, the next book in the Keys to the Kingdom series!",Positiva
710,"When everyone starts getting sick from a plague, Arthur has to go in a special house and save everyone",Negativa
711,It is about time for prom and they both have dates,Neutra
712,In fact this novel should be read after you have read a substantial number of Agatha Christies,Neutra
713,"Includes affirmations, visualizations, and practical guidance to enhance your inner potential",Positiva
714,"This book is such a clever, compelling read that I was sorely disappointed to have to wait for more",Positiva
715,"Arthur's Earth is one set in the future to begin with, which is a bit hard to follow through his reflections on previous events, but it gets even more confusing when he receives on of the Keys and finds the House that is a gateway to another world/time/reality",Neutra
716,"In  addition, the layers of the story were sufficient for my husband &amp; I to  enjoy the book as well (we listened on a long car trip)",Positiva
717,Mister Monday is a phenomenal book that gets an excellent 10/10,Positiva
718,"But why?  Why?  Why?  She's like Patty McCormack in THE BAD SEED, but why?  Author Marshall has a new theory about why some kids hit the ground running, while others just go to the devil",Neutra
719,This is a detailed biography of Alphonse Capone,Positiva
720,Its about twins,Positiva
721,"There is also brutal violence with both men and women as victims, so read and be prepared",Neutra
722,Arhtur does not know this but a will guarded by a clock face glass box and other odd things has been released which is the reason he got the key (clock hand) in the first place,Neutra
723,Mister Monday is one of the best books I have read in a long time,Positiva
724,"Much more attention is paid to plot development, which, while nice, is only one half a needed whole",Positiva
725,But then it gets real confusing,Negativa
726,"Aurther, Suzy Blue{a friend he makes on the way} and the Will now will go through many treacherous tasks to defeat Monday- the Will so that Aurther can claim the key, therefore the first part of the Will is done, Aurther to find a cure to thing strange plauge, and Suzy to help them all",Neutra
727,"This is a 361 page book about a boy named Arthur Penhaligon who is destined to die an early death, but is saved by a key given to him by a mysterious man named Mister Monday",Neutra
728,What can I say that has not been said before? McDermid's psychological mysteries are absolutely brilliant,Neutra
729,"Gasping for breath, two strange men visit him and give him a book and a key",Neutra
730,It's an insight into the law enforcement agencies across Europe and an undercover police operation all rolled into one,Neutra
731,"This novel also has numerous characters and several storylines that at first seem unrelated, but which eventually intersect",Neutra
732,Even a plot synopsis makes this apparent,Positiva
733,"I love fantasy and science fiction, but this storyteller forgot something very important",Positiva
734,He was about to die when he was handed a minute shaped key from Mister Monday,Neutra
735,"I found this book (especially the Prologue) more bizarre than either Sabriel or Lirael, but every bit as engrossing",Positiva
736,The keys and Mr,Neutra
737,It wasn't really my type anyway,Negativa
738,He has recently branched out from his drug distribution into people smuggling,Neutra
739,"If you're paranoid at all, you're going to get your instincts jumpstarted within a few pages of reading THE INTRUDERS",Neutra
740,"Of, course, it doesn't seem strange to him- at first",Neutra
741,Arthur seeks safety within the walls of a house that only he can see,Neutra
742,I noticed that my students often began reading book two before I was done reading book one because they were so anxious to find out what happened to Arthur!  I would recommend this book for anyone who values the amazing capabilities of the imagination,Positiva
743,He also focuses in on the specific structural features of modern life that made psychoanalysis an especially successful ideology,Positiva
744,"Arthur is saved by a key, that chages his fate entirely",Neutra
745,Mister Monday is the first book of The Keys to the Kingdom by Garth Nix,Neutra
746,"In my opinion, this is the best and most well written of all of the Capone biographies",Positiva
747,"If you like your suspense novels to be offbeat and edgy, and you don't mind a few genuine shocks, THE INTRUDERS is the book for you",Positiva
748,"After these exciting and intriguing introductions, Garth Nix launches into the meaty part of the first book of The Keys to the Kingdom series, where one of the most unlikely of heroes struggles reluctantly to fulfill his destiny, while trying to save his own world from a deadly plague",Negativa
749,I really enjoyed this book because I it was adventurous and everything could turn out either way so you didn’t know how the book ends,Positiva
750,Throughout the book the narrative switches between Maggie and her tentative relationship with Dennis and Liz's problems with Sean,Neutra
751,the end really confused me i thought liz would end up with sean and maggie would end up with dennis,Negativa
752,The story starts off on a Monday and it is Arthur Penhaligon's first day of school,Neutra
753,This is a dark side of the moon kind of book it is full of suspense and you never what will happen next,Positiva
754,Arthur is put through a rigorous test of bravery and compassion to face the evil Mister Monday,Negativa
755,"This book is a great educational, but fun book for children ages 3-6 years old",Positiva
756,They provided relief from Liz's ridiculousness,Negativa
757,"She'd like to, but she worries that it might end up in pregnancy",Neutra
758,"I got ""class trip"" from a library for 10 cents",Neutra
759,"With Mister Monday defeated, Arthur is able to go back home and cure the Fetcher plague",Neutra
760,Everyone is sure to luv this book!,Positiva
761,"As they work these difficult cases, Jordan and Hill provide one another with much needed advice and emotional support",Neutra
762,"Yes, it's sad that she doesn't get along with her parents",Negativa
763,This is the third novel I have read by Val McDermid,Neutra
764,The Will gives him instructions on how to get the Greater Key (shaped like the hour hand on a clock) from Mister Monday and become Master of the Lower House,Neutra
765,He now has to go school in the middle of the year,Neutra
766,Arthur an asthmatic that ment he can't breathe well,Neutra
767,"It provides a great insight into the behind the scenes goings-on in parliament, the rivalries and treacheries in the run up to Winston Churchill becoming Britains war time Prime Minister",Neutra
768,"Of all her family, only Grandmother understands, or even has time for, Kay's story of catching a magical golden leaf, the kind that makes sand pies--and dreams--real, because she had caught one too when she was young",Neutra
769,"Two of Nicky's friends come by to visit Mog and the kittens, wishing that they themselves had a kitten",Neutra
770,"Anyone who has read Nix before, or anyone who hasn't, read this!  Be prepared for a journey of a lifetime crammed into one day",Positiva
771,He is so severely asthmatic that an attack brought on by a compulsory cross-country run at his new school is about to end his life,Neutra
772,"because the Will tricked Mister Monday into giving the key to Arthur, Noon",Neutra
773,She acknowledges that women want to be wives and mothers,Neutra
774,They are also both seniors in high school,Neutra
775,"Just to give you the basic story outline, there are twins born and one is angelic, the other like a little devil",Neutra
776,"Well-liked by both boys and girls in my middle school classes, this series is favored by boys; and though written at a seventh grade reading level, is also well-liked by high school boys into about tenth grade",Positiva
777,"It took me a considerable amount of time to get into it, only to find that the plot makes little to no sense",Negativa
778,The plot moves right along and the young hero is likeable and delightfully normal,Positiva
779,In the beginning there was The Architect who created everything from nothing,Neutra
780,"After reading nearly 30 novels, Poirot had been a part of life",Neutra
781,One of those problems is dating and sex,Neutra
782,"Then I flipped it over and read that the main character, Arthur Penhaligon, was supposed to die, yet he didn't",Neutra
783,Capone was very aggressive in furthering his interests even if the price was murder,Negativa
784,"Angela means angel, and she was obviously the good one",Positiva
785,"I liked the story, but it lacked the detail and depth that can be found in Tolkien and Rowling",Positiva
786,"""  I recommend this and ""Shade's Children"" to everyone who likes an action packed book",Positiva
787,Book 1 is about a twelve year old boy named Arthur Penhaligon who has asthma,Neutra
788,"When Jack's wife Amy reappears as if nothing is wrong but begins to act just a little bit ""not Amy,"" he finds himself in an uneasy team with the old buddy, Fisher, trying to ferret out the truth behind a shadowy group whose members seem to be hiding some truly strange things",Neutra
789,"He also makes a friend, in Susie Turqouise Blue &amp; we learn what really happend to the Pied Pipers children, and why it wasn't such a bad thing",Neutra
790,"Whether writing as Marshall or Marshall Smith, this is a novelist who has always been way ahead in his field and he only gets better with every book",Positiva
791,The characters were interesting as well,Positiva
792,"I really enjoy Michael Marshall Smith's writing style, and heartily recommend one of his earlier novels, THE STRAW MEN",Positiva
793,I liked the characters,Positiva
794,Paul really  emphasizes what sex can lead to and at the same time gets into teenagers  head to really think about doing things out before executing them,Neutra
795,"Slightly more relevant, but still mildly tedious, was the dysfunctional relationship between Brendan Bracken, Churchill's closest confidant, and Kennedy's niece, Anna Fitzgerald",Negativa
796,I bought Mister Monday for a special price of $2,Neutra
797,"Later that week a plague hits the town, Arthur has to unravel the mysteries of the key to save his family and friends",Neutra
798,"soon enough they go away, but leave behind a mysterious diease",Neutra
799,Along with the key comes a plague brought by creatures from another realm,Neutra
800,To some degree it does still speak to teens today,Positiva
801,This novel is one that cannot go undread by young men and women alike,Positiva
802,One thing that I really like about it is that the beginning jumps right into the story,Positiva
803,A car crash en route puts an  initial crimp in this suicide mission,Neutra
804,"The writing is good, but",Positiva
805,This book has loads of detail and is not that short,Negativa
806,I am amazed by Kingston's ability to present different perspectives and surprised by her ability to resolve many issues,Positiva
807,"The positive jacket blurb from Stephen King convinced me to read this book, but I wish I'd picked something else",Neutra
808,"The kind of reader that might enjoy this book is someone that likes adventure, excitement and funny books like me",Positiva
809,"With a lot of 'twinnish', a language which is used by the twins to communicate, Diabola talks to Angela because she does not know how to speak a lot of English",Neutra
810,"Captain Hastings receives a letter from an old friend Hercules Poirot, a detective who has worked together with Hastings many times earlier",Neutra
811,"This author did both, and added  a plot that, as others have pointed out, grows satisfyingly creepier on each page -- so much so that I found myself standing at a cross-walk in broad daylight thinking, ""I really need to start paying more attention to who's around me",Positiva
812,"I don't find her descriptions to be gratuitous, just very graphic",Positiva
813,on into the inner sactum of the gangleader himself,Neutra
814,"I was curious to see whether ""Mister Monday"" (first novel in a fantasy series that has since worked its way up to Thursday) was published before or after James Stoddard's ""High House"" as the two books have similar settings",Neutra
815,The storyline was incredible,Positiva
816,"Garth Nix did a great job, and I can't wait to read Grim Tuesday, the next book in the Keys to the Kingdom series!",Positiva
817,Kingston excels and describing the marketing behind this notion (and I love that this industry now has an insidious name: the wedding industrial complex),Positiva
818,"The plot is well-paced, gripping and full of surprising twists and turns",Positiva
819,From a bestselling novelist with an unrivalled insight into the workings of power comes a compelling new novel exploring Winston Churchill's remarkable journey from the wilderness to No 10 Downing Street at the beginning of World War II,Positiva
820,"Agriculture - beans, chili, corn, etc",Neutra
821,"However, just as he is about to die, he is handed a key shaped like a minute hand from a mysterious person called Mr",Neutra
822,Mister Monday changed from a ruler of many to be a pathetic man grobbling for his life in front of Arthur,Negativa
823,"I like this book because it has action, suspense and a little bit of drama",Positiva
824,"Dobbs seriously wants to tell us about Neville Chamberlain's politics of appeasement, a policy that ended with his downfall as Prime Minister",Neutra
825,"This book was not at all that I would imagine it to be! It was kind of scary, so i had to read it in the daylight! This story was about two twins- One good and one very, very bad! Their names were Angela and Diabola",Negativa
826,I was glad to find out where Suzy came from,Neutra
827,"If you haven't experienced him in either incarnation, you've missed a treat and this novel is a perfect place to begin familiarising yourself with his work",Positiva
828,I really liked this book because it was  interesting and always kept me entertained,Positiva
829,I also loved the chapter: Gym and other lessons,Positiva
830,"Angela is named because she acts like an angel, and Diabola is named because she acts diabolic (evil)",Neutra
831,Nix has managed to avoid creating people who are stereotypically either good or bad,Positiva
832,"Which is interesting in ways which will be revealed once you read the book, remembering that ""Prometheus"" means ""Forethought""",Positiva
833,The main gender that would want to read this book would be girls because of what the story is based on and because they can relate to it the best,Positiva
834,This is a suspenseful story packed with adventure,Neutra
835,"I started it like 2 months ago and i haven't liked reading it, there are few events and it's as boring as heck, there's no good concept to it",Negativa
836,"That's all I'm going to say for now, but this is an awesome book, and its worth more than what they sell it for",Positiva
837,"Another book by Garth Nix that changes the name of reading entirely! I've read the entire Seventh Tower series which was one big thriller, but Mister Monday is so compelling you can't put it down",Positiva
838,It truly gives honor to all Native Women and the traditions and culture that makes them so rich and alive,Positiva
839,Carol is offered the bone of a possible promotion if she would agree to an undercover assignment,Positiva
840,It's just plain good!,Positiva
841,"I'm not quite done with this book yet, but I have to say, I like it",Positiva
842,"Kudos to McDermid for trying something different instead of just writing variations on a theme, but the theme is one she does really well and this effort is a bit disappointing",Neutra
843,I liked this book because it had a lot of action and although the hero had asthma he kept on going,Neutra
844,It is when an ex colleage of profiler Tony Hill's is found slain that he takes it upon himself to investigate the killings,Neutra
845,"Anyway, Agatha Christie wrote one of the best Poirot novels ever",Positiva
846,The Cuthbertson-Joneses have to move into a run down apartment,Neutra
847,now he is thurst into a situation that is far out of his hands,Neutra
848,"But Nix doesn't downplay his brand of horrific fantasy either; stuff that would seem silly for most other authors, like dog-faced monsters, is magic in his hands",Positiva
849,I didn't like this book and the Northwest setting of Portland and Seattle made me think the author had spent an afternoon in the Northwest during a cruise ship pit stop and decided he could write about the location like a native,Negativa
850,"Cuberson-Jones!One as an angel called ""Angela"" and another as a devil called ""Diabola""",Neutra
851,Their parents they think that Angela is an angel and can get whatever she wants,Positiva
852,A joy to read,Positiva
853,The reference material in this book is very good and numerous examples were selected to support each theory presented,Positiva
854,Mister Monday is from the genre fantasy,Neutra
855,Curtain: Poirot's last casePoirot's last case was written by Agatha Christie (1891-1976) in the 1940's,Neutra
856,"Though this series isn't one of his best, his style and vivid imagination is still very present",Neutra
857,"Why couldn't they have helped Arthur more? Maybe that happens in next, coming books",Negativa
858,The story of Angela and Diabola all begins when Mrs,Neutra
859,"In the end, I felt the whole story was pointless",Negativa
860,A must read for all guild-members and outsiders,Positiva
861,The thing I didn't like about this book is that Arthur didn't not seem like his age,Neutra
862,"When finished, you will be so familiar with these characters, you will wish their was a second book!",Positiva
863,"This series is great, and I recommend it to anyone to read it, enjoy it and read the other 2(so far) in the series, as well as his Seventh Tower, and the Sabriel, Lirael, Abhorsen series, theya re all great",Positiva
864,"In order to get where she wants to go, she has to have Carol Jordan do something completely out of character and, frankly, she doesn't do a good job of convincing us of the reason",Negativa
865,Garth Nix really outdid hiself when he wrote this one,Positiva
866,"He would quickly and efficiently describe every place they went, not like some stories where the spend pages describing one little thing",Positiva
867,After half the book you will go on reading until the end because you want to know who the murderer is,Neutra
868,I would also recommend this book as a book club selection because I can definitely see women talking about this in depth - from the heart,Positiva
869,A well written novel by Lynn Reid Banks weaves good and evil into a touching and unforgetable novel,Positiva
870,He thinks he knowswhere he could find a cure-in a mysterious house only he can see,Neutra
871,In this last look at Hercule Poirot we see him and his friend Hastings at Styles where we were first introduced to this incredible Belgian,Neutra
872,Arthur Penhaligon is a boy weakened by asthma and in having to live in the shadow of a very successful family,Neutra
873,"This key enables him to fight off the dog-faced Fetchers that are searching his school for him, and then get into the mysterious House he alone seems to be able to see in order to find a cure for the Sleepy Plague the Fetchers seem to have started",Neutra
874,"Old legends are given new life (such as the tale of the Pied Piper and the Greek myth of Prometheus) and concepts and symbols given real form: such as the days of the week in human form, and their angelic-looking (but quite devilish) Dawn, Noon and Dusks",Negativa
875,It definitely is not a wartime thriller,Negativa
876,"When he recovers, the ""key"" and "" A Compleat Atlas of The House"" are still there",Neutra
877,Jack is a wonderful beleaguered hero who starts off by quickly realizing he don't know jack even about himself and as he investigates realizes each new clue proves he knows even less than he thought,Positiva
878,"Jack is reluctant to help until his own wife disappears while supposedly on a business trip to Seattle, and he learns that she may be involved with the same company the missing man was investigating/working with",Neutra
879,"cop now living in rural Washington state, whose background may be a little murky, is surprised by a visit from a high school semi-buddy who wants his help with a murdered family and a disappeared husband who may have been onto some highly secretive organization",Neutra
880,"It was indeed, promising, as described before by others",Positiva
881,"Taken together, they portend the arrival of something far beyond anything that Jack can imagine",Neutra
882,"Well, what I can say about this book is,it's very interesting",Positiva
883,"Arthur is a great protagonist, though he lacks the charm of Sabriel and Tal from Garth Nix's previous books",Positiva
884,"It is mostly about the discoverers, but also reveals a lot about what they discovered",Neutra
885,"I've read alot of books, but this one stuck out in my head",Positiva
886,This is dark fantasy at its best,Positiva
887,&lt;br&gt;	Angela and Diabola is a great fiction book with wonderful dialogue and text,Positiva
888,"Somehow I was just left wanting to hear more about Leaf and Ed ( two classmates, who could have been good friends to Arthur )",Neutra
889,Like this book because it is just like my life in a lot of was,Positiva
890,"I  figure the reason I'm paying to read an author's book is because he or she  is much cleverer than I and will say things that I haven't already thought  or write things that aren't cliches and because of this, I am increasingly  saddened by Gregory MacDonald's descent into mediocrity",Negativa
891,The author states many 'facts' and points that seemed to backed up very little other than personal views or opinion (or at least they aren't explained throroughly enough for me to undertstand,Neutra
892,It is fascinating to see Chamberlain's party struggle to hold on as their political capital steadily declined,Neutra
893,"I have to say, I haven't read anything yet by Garth Nix that I didn't enjoy, but Mister Monday is by far my favorite",Positiva
894,When he goes the house and touches the key to the wall a black door appears he walks in it and goes to another world,Neutra
895,This book is his first published (1996),Neutra
896,"One child is so   angelic, it's like a piece of heaven came",Positiva
897,"By a dispassionate and careful treatment of the very difficult material, he manages to write a compelling book about a terrible subject",Positiva
898,Garth Nix rules!,Positiva
899,"The Meaning of Wife, which is by no means a quick or light read, is well written, engaging, thought provoking and entertaining",Positiva
900,Arthur Penhaligon has asthma,Neutra
901,Arthur got taken to the hospital and in a few days he got back up and went to school,Neutra
902,"In one word, it is a pseudo-science",Neutra
903,"As noted by some other reviewers, these books are not for the squeamish",Negativa
904,"When a disease breaks out, he finds that it is spread by the Fetchers",Neutra
905,Arthur ventures through the story finding the bravery he needs,Neutra
906,She does not represent a feminist hard-line but takes a logical stance that does not slap either sex across the face with shame,Neutra
907,"Kobler shows all the complexities of Al Capone,  He may have evil traits, but a very real human came through in Kobler's biography",Neutra
908,"The story  wasn't too good, and the characters were flimsy",Negativa
909,"Among those are the army of doglike and winged creatures, all dressed in attire befitting a civilization one hundred and fifty years ago",Neutra
910,"With this comparison in mind, it seems odd that the government finally crumbled the Capone empire with charges of tax evasion",Neutra
911,This is probably the grittiest of the Tony Hill/Carol Jordan stories and one of the best,Neutra
912,Crazy stuff that'll keep you reading,Positiva
913,The key makes it possible for Arthur to live through a brutal asthma attack on the first day at this new school,Negativa
914,"I saw the book and said "" Hey, Cool, He wrote a new book!"" This book was excellent, and brilliantly written",Positiva
915,"However, the book is beautifully illustrated and a worthwhile addition to  your collection",Positiva
916,"Garth Nix has woven another intricate fantasy tale including wonderfully believable characters, strange creatures, and a tendency for the unexpected",Positiva
917,"Fisher, now a lawyer teetering precariously on the brink of something he himself is struggling to understand, has ostensibly come to ask for Jack's opinion on an estate case he's handling, owing to Jack's past in law enforcement and their connection as former classmates",Negativa
918,"With only the lesser part of the first key to aid him, Arthur is always fighting against the odds",Neutra
919,You find your self almost hurrying to the next page because the suspense builds through to the end of the book,Positiva
920,"In the letter he urges Hasting to come to the hotel where they once met for the first time the Styles, because there is to be a murder",Neutra
921,It is spreading rapily through his town,Negativa
922,"The author crosses geographical boundaries; her plot lines involve police forces in England, Holland and Germany",Neutra
923,I never knew Agatha Christie could bring so much of emotion,Positiva
924,"A higher power sneaks through the inspector a small line of text, later proving to be more then enough help to free the first several paragraphs of the Will",Neutra
925,"Through this undercover work, she and Tony Hill renew their acquaintance and begin chasing down a German criminal named Tadeusz Radecki",Neutra
926,"The first action seen was when Arthur was attacked by the pig men, and Afternoon",Neutra
927,I already recommened this book to a colleague who is several years younger and would recommend it to all young women and men,Positiva
928,But one day he encounters a strange man called Mr,Neutra
929,"It is about Arthur, an average boy who turns into an extraordinary boy",Neutra
930,Their parents paid no attention to her at all,Neutra
931,"I also picked up on a religious tone to the book, which I only mention to make you aware that it's in there",Negativa
932,"To get more in the characters and their motivations would have been a plus but because the story focus is on the discovery of the House and things related to the House, I didn't expect to get into the characters more than we did and thus I really wasn't too disappointed",Neutra
933,This book was written by Stuart J,Neutra
934,After about the first chapter I wondered if it would get any better,Negativa
935,"Suddenly he was the holder of a strange key, shaped like the minute hand of a clock, and Mister Monday was impatiently waiting for Arthur's expiry date to come up",Neutra
936,"Overall, despite the quirky environment and characters, the story felt predictable and a bit templated in its structure",Negativa
937,"As with a lot of the best young adult books out there, some kids may find this series disturbing, and there are some scenes that contain a certain amount of violence",Negativa
938,I was disappointed to discover the end of the book,Negativa
939,Zindel could've done better,Negativa
940,"Considering my taste in literature, Nix's books should fit perfectly with my preferences, but something about them just falls short",Neutra
941,"Their icons growing up on TV were single women, Superwomen who could do it all by themselves",Neutra
942,While this book explores issues of teens I  highly recommend it to others,Positiva
943,Then he is saved from a lethal asthma attack by a man in a bath chair wielding the minute hand off of a gigantic clock,Negativa
944,Armchair Interviews says: The Intruder is nominated for CWA Ian Fleming Steel Dagger Award,Neutra
945,"Without giving away anything significant, I can tell you that a major portion of the book was centered around a police officer assuming an alias",Neutra
946,Lynne Reid,Neutra
947,The book really held my interest throughout the whole story,Positiva
948,"Unlikeable, dour and sour characters populate this novel that has SciFi/Horror overtones set in something of a hardboiled mystery",Neutra
949,"The idea is interesting, if not for younger minds",Neutra
950,"If you are a parent and want your kid to get into reading, this book is perfect",Positiva
951,"Plus there are ever present characters of Monday's army, such as Dawn, Noon, and Dusk",Neutra
952,"These books have Garth Nix's classic prosaic style of writing, with interestingly new concepts woven in, the Morrow Days; Dawn, Noon and Dusk; and the Will",Positiva
953,"If you like contmporary fiction, you might enjoy Angela and Diabla",Positiva
954,"Unfortunately the rest of the story just felt like a bunch events related one after another, not unlike the bible",Negativa
955,"Along the way, he is sidetracked by a succession of fortuitous events that draws him into an altogether unanticipated journey--and rekindles his appetite for life",Neutra
956,"For the most part, I thought this book was good and I especially enjoyed Maggie and Dennis",Positiva
957,"Generally McDermid paints female police officers as brighter, more diligent and more intuitive than their male counterparts, as well as more often homosexual",Positiva
958,"And the emotional effect does not suffer from this approach--because Levi does not manipulate them, the reader's feelings are deeper and more lasting",Neutra
959,Arthur faked the give and threw the key and when the minute hand struk one o' clock all of the dogs and Noon disappeared,Neutra
960,"&lt;br&gt;    Then, Aurther notices a strange house that only he can see",Neutra
961,It had a good story plot,Positiva
962,"This definitive handbook, written by one of the world's leading authorities on C",Positiva
963,"These, along with Mr Monday and his avenging messengers with blood-stained wings, will stop at nothing to get back the key, even if it means destroying Arthur and everything around him",Neutra
964,This was a good book,Positiva
965,Twins: Angela and Diabla,Neutra
966,John Kobler is a little-known master craftsman and this is his master work,Positiva
967,"However, along with the key comes a plague brought by bizarre creatures from another realm--dog-faced men in bowler hats called Fetchers",Neutra
968,"The man in the wheel chair gives Arthur a key, and they disappear again, while holding the key Arthur can breathe perfectly fine",Neutra
969,He was trying to set up the world that gave rise to a gang leader like Al Capone,Neutra
970,I have read Agatha Christie all of my life,Neutra
971,I'm afraid it's no longer that meaningful,Negativa
972,"His wife, Amy, goes to Seattle for a business meeting but never checks into the hotel",Neutra
973,Cuthbertson-Jones leaves his wife to handle the twins,Neutra
974,"Certainly there are fictional threads running through the tale, but Mr",Neutra
975,The twist at the ending was thought out well,Positiva
976,"The fabulous author had a brilliant idea which emphasizes the intention of two twin sisters, one angelic and one diabloic",Positiva
977,"However, by the end of the first 100 pages, you feel like screaming, ""GET AN INHALER AND SHUT UP!"" So much so, I jokingly told my friend that Mister Monday's real title is The Amazing Adventures of Asthmatic Arthur",Neutra
978,"In having this attach Arthur Penhaligon meets two new friends (Leaf and Ed twin brother and sister) and also gets a suprise, Mister Monday and his buttler, Sneezer, appear with a flash of light and give Arthur a gift,(Arthur thinks Sneezer is up to something but does not know) a minute hand of a clock (the clock that was guarding the will) and a book (An Atlas he can't yet open)",Neutra
979,This story is a very fascinating and you never want to put the book down,Positiva
980,with Arthur which meant that they can't take it,Neutra
981,"Murphy, and illustrated by Holly Keller",Neutra
982,"The main character, a young asthmatic with greatness thrust upon him is not fleshed out very well, nor do we see much growth in him from the beginning of the book until the end",Negativa
983,I would have liked a bit more detail on the locations,Negativa
984,The concept of the murderer who is brilliant enough to manipulate others into doing the job for him is extremely interesting,Positiva
985,"Cuthertston-Jones gives birth to  twins with completly different personalities, one of the  twins was born an angel and was named Angela where as her twin sister was  born a devil and was named Diabola",Neutra
986,I'd recommend this book to any fantasy fan or any fan of a really good story,Positiva
987,"This book is so cool! My friend gave it to me for Christmas when I was 8, and I have read it a lot of times",Positiva
988,"Meanwhile, relegated to the periphery of British politics and virtually an outcast, Churchill obstinately lashes out against appeasement and loudly proclaims the necessity for total war to save democracy from the depredations of the Nazis",Neutra
989,"And finally, Mister Monday and The Will",Neutra
990,Her bosses think she will be able to handle it,Neutra
991,"A second protagonist in ""The Last Temptation"" is Dr",Neutra
992,This was the first book that I read by Paul  Zindel and now he is one of my favorite authors,Positiva
993,"Diabola then starts to love school, and especially drawing",Positiva
994,I liked how he made me think about what I was reading,Positiva
995,"However, this quibble aside, I recommend ""The Last Temptation",Positiva
996,"However, I think the recommended age range (4-6)is a little off",Negativa
997,Arthur sets off into the house to find a way to save his world,Neutra
998,Soon after the arrival of the key come those who wish to hunt it down and return it to Mister Monday,Neutra
999,It was a chance Capone was to take,Neutra
1000,"And, screen actor Allan Corduner has the power to imbue his reading of the latest by this talented author with the requisite amounts of menace and suspense",Positiva
1001,Nicky decides to give the two kittens to the very same (two young girls) friends who were admiring them,Neutra
1002,"In the first hundred pages, Al Capone's name is literally mentioned only about five times",Neutra
1003,"The novel is full of conversation, and as for action you'll have to settle for walks through the garden of Buckingham Palace with Lord Halifax, and King George VI (who, we find out, was so tongue tied that it was difficult for him to make clear statements)",Neutra
1004,It says that he is the rightfull heir to the kingdom{the House} but all Aurther wants is a cure to the Sleepy Plauge,Neutra
1005,What's behind these disappearances? One thing you know - Jack will get to the bottom of it all - or die trying,Neutra
1006,"Having said that, this must be an absolute thrill to read when you're nine or ten",Positiva
1007,'Turbulent Priests' is fresh and funny,Positiva
