,Title,Title_EN,ISBN,Author,Auth_Sugg,az_EN_link,gr_EN_link,az_IT_link,an_IT_link,Yes24_link,Naver_link,Shelves_gr,N_pag,Rating_gr,Rating_Distr_gr,Num_Voti_gr,Num_Rev_gr,Pub_Date_gr,Rating_az,Distr_Rating_az,Num_Voti_az,Num_Review_az
21,로스트 심벌 1,Lost Symbol 1,9788983923387.0,댄 브라운,Dan Brown,https://www.amazon.com/gp/product/B002KQ6BT6/,https://www.goodreads.com/book/show/6411961-the-lost-symbol,https://www.amazon.it/gp/product/B005SZ52JG/,https://www.anobii.com/books/il-simbolo-perduto/9788804604723/012c086157261be7b5,http://www.yes24.com/Product/Goods/3607672,http://book.naver.com/bookdb/book_detail.naver?bid=6182203,"['Fiction\n6,459 users', 'Mystery\n4,106 users', 'Thriller\n3,812 users', 'Thriller > Mystery Thriller\n997 users', 'Suspense\n859 users', 'Adventure\n747 users', 'Historical > Historical Fiction\n674 users', 'Mystery > Crime\n571 users', 'Novels\n519 users']",509,3.73,"['26%', '34%', '28%', '9%', '3%']",565510,28057,Published September 15th 2009 by Doubleday,4.3,"['63%', '19%', '10%', '4%', '4%']",8886.0,5068.0
22,오리진 1,"Origin 1 -> Origin set 1,2",9788983926845.0,댄 브라운,Dan Brown,https://www.amazon.com/gp/product/B01LY7FD0D/,https://www.goodreads.com/book/show/32283133-origin,https://www.amazon.it/gp/product/B075G2WCLF/,https://www.anobii.com/books/origin/9788804703389/011c409a37720b642a,http://www.yes24.com/Product/Goods/56690739,https://book.naver.com/bookdb/book_detail.naver?bid=12753284,"['Fiction\n3,143 users', 'Thriller\n1,928 users', 'Mystery\n1,558 users', 'Thriller > Mystery Thriller\n485 users', 'Audiobook\n372 users', 'Suspense\n324 users', 'Adventure\n290 users', 'Novels\n230 users', 'Mystery > Crime\n219 users']",456,3.87,"['29%', '38%', '25%', '6%', '2%']",286342,25567,Published October 3rd 2017 by Doubleday,4.4,"['62%', '21%', '11%', '4%', '3%']",25619.0,12768.0
23,은하수를 여행하는 히치하이커를 위한 안내서 합본,Guide for Hitchhiker to travel to Milky Way,9788970135472.0,더글러스 애덤스,Douglas Adams,https://www.amazon.com/Hitchhikers-Guide-Galaxy-Trilogy-Five/dp/1529034523/,https://www.goodreads.com/book/show/386162.The_Hitchhiker_s_Guide_to_the_Galaxy,https://www.amazon.it/gp/product/B07MZTCZV7/,https://www.anobii.com/books/guida-galattica-per-autostoppisti/9788804707370/01c5933953fdba1605,http://www.yes24.com/Product/Goods/1819520,http://book.naver.com/bookdb/book_detail.naver?bid=1997216,"['Science Fiction\n15,165 users', 'Fiction\n11,230 users', 'Humor\n5,671 users', 'Fantasy\n4,786 users', 'Classics\n4,748 users', 'Humor > Comedy\n1,950 users', 'Science Fiction Fantasy\n1,476 users', 'Audiobook\n1,181 users', 'Adventure\n935 users']",193,4.22,"['51%', '29%', '14%', '4%', '2%']",1584402,34346,Published June 23rd 2007 by Del Rey (first published October 12th 1979),4.5,"['73%', '16%', '7%', '3%', '2%']",7213.0,2045.0
24,더크 젠틀리의 성스러운 탐정 사무소,Dark Gentli's sacred detective office,9788991310254.0,더글러스 애덤스,Douglas Adams,https://www.amazon.com/Dirk-Gentlys-Holistic-Detective-Agency/dp/1529034582/,https://www.goodreads.com/book/show/365.Dirk_Gently_s_Holistic_Detective_Agency,https://www.amazon.it/gp/product/B008561TTW/,https://www.anobii.com/books/l-investigatore-olistico-dirk-gently/01f66e4884348878e0,http://www.yes24.com/Product/Goods/3473370,http://book.naver.com/bookdb/book_detail.naver?bid=6048093,"['Science Fiction\n2,155 users', 'Fiction\n1,877 users', 'Fantasy\n1,354 users', 'Humor\n1,323 users', 'Mystery\n852 users', 'Humor > Comedy\n427 users', 'Science Fiction Fantasy\n252 users', 'Science Fiction > Time Travel\n179 users', 'Mystery > Detective\n155 users']",306,3.96,"['34%', '37%', '22%', '5%', '2%']",136513,3790,Published January 1st 2002 by Pocket Books (first published May 15th 1987),4.4,"['65%', '20%', '10%', '3%', '3%']",1674.0,620.0
25,동물농장,animal Farm,9788937460050.0,조지 오웰,George Orwell,https://www.amazon.com/Animal-Farm-Fairy-Story-Anniversary/dp/0451526341/,https://www.goodreads.com/book/show/170448.Animal_Farm,https://www.amazon.it/gp/product/B0065FZIO2/,https://www.anobii.com/books/la-fattoria-degli-animali/9788830104884/0116dd066fc81d9559,http://www.yes24.com/Product/Goods/17352,http://book.naver.com/bookdb/book_detail.naver?bid=5151,"['Classics\n35,905 users', 'Fiction\n20,186 users', 'Science Fiction > Dystopia\n4,087 users', 'Fantasy\n3,362 users', 'Literature\n2,882 users', 'Politics\n2,810 users', 'Academic > School\n2,605 users', 'Science Fiction\n2,124 users', 'Novels\n1,841 users']",141,3.97,"['37%', '35%', '19%', '6%', '3%']",3092011,66767,Published April 1996 by Signet Classics (first published August 17th 1945),4.6,"['73%', '18%', '6%', '1%', '2%']",27979.0,4964.0
26,1984,1984,9788937460777.0,조지 오웰,George Orwell,https://www.amazon.com/gp/product/B088RKJ5JB/,https://www.goodreads.com/book/show/40961427-1984,https://www.amazon.it/gp/product/B00647R2OK/,https://www.anobii.com/books/millenovecentoottantaquattro/9788830104877/01bf41e4ba0ae7c7f8,http://www.yes24.com/Product/Goods/372300,http://book.naver.com/bookdb/book_detail.naver?bid=125627,"['Classics\n39,559 users', 'Fiction\n24,285 users', 'Science Fiction\n11,107 users', 'Science Fiction > Dystopia\n9,229 users', 'Literature\n3,143 users', 'Novels\n2,364 users', 'Politics\n2,240 users', 'Academic > School\n1,978 users', 'Fantasy\n1,232 users']",298,4.19,"['47%', '33%', '14%', '4%', '2%']",3592996,82210,Published September 3rd 2013 by Houghton Mifflin Harcourt (first published April 8th 1949),4.5,"['70%', '18%', '8%', '2%', '2%']",894.0,123.0
27,나는 왜 쓰는가,Why do I write,9788984314238.0,조지 오웰,George Orwell,https://www.amazon.com/Why-Write-Penguin-Great-Ideas/dp/0143036351/,https://www.goodreads.com/book/show/9644.Why_I_Write,https://www.amazon.it/Letteratura-palestra-libert%C3%A0-George-Orwell/dp/8804701013/ref=sr_1_1?keywords=Letteratura+palestra+di+libert%C3%A0&qid=1636512573&qsid=260-7043333-5119002&s=books&sr=1-1&sres=8804701013%2C880468643X%2C8804665300%2C8804668156%2C8804705590%2C8804680164%2CB00U37GBXA%2CB00UIQDOWC%2CB07PHGJH5Q%2CB07FN68C79%2CB07GX82RT3&srpt=ABIS_BOOK,https://www.anobii.com/books/letteratura-palestra-di-liberta/9788852043567/012d9171ee431b4fa1,http://www.yes24.com/Product/Goods/4212338,http://book.naver.com/bookdb/book_detail.naver?bid=6366481,"['Nonfiction\n591 users', 'Language > Writing\n386 users', 'Writing > Essays\n276 users', 'Politics\n155 users', 'Classics\n115 users', 'Philosophy\n108 users', 'History\n49 users', 'Literature\n38 users', 'Biography\n35 users']",120,4.03,"['33%', '42%', '21%', '4%', '1%']",9411,912,Published September 6th 2005 by Penguin Group (first published 1946),4.5,"['75%', '13%', '6%', '1%', '4%']",146.0,42.0
28,카탈로니아 찬가,Homage to Catalunia,9788937460463.0,조지 오웰,George Orwell,https://www.amazon.com/gp/product/B002RI9XHO/,https://www.goodreads.com/book/show/9646.Homage_to_Catalonia,https://www.amazon.it/gp/product/B00SKCBHUW/ref=dbs_a_def_rwt_hsch_vapi_taft_p2_i6,https://www.anobii.com/books/omaggio-alla-catalogna/9788804222248/0141ed5cf6c1fd37cf,http://www.yes24.com/Product/Goods/201697,http://book.naver.com/bookdb/book_detail.naver?bid=218371,"['History\n1,575 users', 'Nonfiction\n1,334 users', 'Politics\n515 users', 'Classics\n474 users', 'War\n376 users', 'Autobiography > Memoir\n335 users', 'Biography\n319 users', 'Cultural > Spain\n290 users', 'Literature\n131 users']",232,4.06,"['37%', '39%', '17%', '4%', '2%']",52846,2929,"Published October 22nd 1980 by Harcourt, Inc.(Harvest Book) (first published April 25th 1938)",4.5,"['68%', '21%', '8%', '2%', '2%']",1698.0,534.0
29,위건 부두로 가는 길,La strada di Wigan Pier,9788984313712.0,조지 오웰,George Orwell,https://www.amazon.com/Road-Wigan-Pier-George-Orwell/dp/0141395451/,https://www.goodreads.com/book/show/30553.The_Road_to_Wigan_Pier,https://www.amazon.it/strada-Wigan-Pier-George-Orwell-ebook/dp/B00SKCBHW0/ref=sr_1_1?keywords=La+strada+di+Wigan+Pier&qid=1636512552&qsid=260-7043333-5119002&s=books&sr=1-1&sres=B00SKCBHW0%2C0141395451%2CB095X943XL%2C1529032725%2CB003S8IK58%2C8883379071%2C8804668288%2C0141036141%2C8804684313%2C8804734906%2C880468643X%2C1844132390%2C1784871516%2CB00SVHMZ5C%2CB00UIQDOWC%2CB00OIAXQIG&srpt=ABIS_BOOK,https://www.anobii.com/books/la-strada-di-wigan-pier/9788804479369/017cb9cbce6dd6f192,http://www.yes24.com/Product/Goods/3664216,http://book.naver.com/bookdb/book_detail.naver?bid=6214723,"['Nonfiction\n586 users', 'History\n382 users', 'Politics\n285 users', 'Classics\n282 users', 'Sociology\n74 users', 'Literature\n56 users', 'Biography\n52 users', 'Economics\n51 users', 'Writing > Journalism\n46 users']",215,3.92,"['27%', '43%', '24%', '4%', '1%']",18461,1361,Published April 26th 2001 by Penguin Classics (first published March 1937),4.5,"['69%', '19%', '8%', '2%', '2%']",1768.0,397.0
30,숨 쉬러 나가다,Bite,9788984314634.0,조지 오웰,George Orwell,https://www.amazon.com/Coming-Up-Air-George-Orwell/dp/0156196255/,https://www.goodreads.com/book/show/509080.Coming_Up_for_Air,https://www.amazon.it/Una-boccata-daria-George-Orwell-ebook/dp/B00SNXNTI6/,https://www.anobii.com/books/una-boccata-d-aria/9788804368663/01468cc1a68d39107a,http://www.yes24.com/Product/Goods/4898741,http://book.naver.com/bookdb/book_detail.naver?bid=6615794,"['Fiction\n424 users', 'Classics\n224 users', 'Novels\n58 users', 'Literature\n56 users', 'European Literature > British Literature\n45 users', 'Historical > Historical Fiction\n34 users', 'Literature > 20th Century\n33 users', 'Classics > Modern Classics\n23 users', 'Literary Fiction\n22 users']",278,3.79,"['23%', '41%', '29%', '6%', '1%']",13717,985,Published October 22nd 1969 by Mariner Books (first published June 1939),4.3,"['60%', '21%', '12%', '3%', '3%']",509.0,124.0
31,파리와 런던의 밑바닥 생활,Bottom Life of Paris and London,9788990745354.0,조지 오웰,George Orwell,https://www.amazon.com/Down-Paris-London-George-Orwell/dp/0141184388/,https://www.goodreads.com/book/show/393199.Down_and_Out_in_Paris_and_London,https://www.amazon.it/Senza-Parigi-Londra-George-Orwell/dp/8804686561/ref=sr_1_1?keywords=Senza+un+soldo+a+Parigi+e+Londra&qid=1636512658&qsid=260-7043333-5119002&s=books&sr=1-1&sres=8804686561%2C8822736761%2CB07CZJ12ZT%2C8822749766%2C8804668156%2CB00OIAXQIG%2C8811811732%2C8804667923%2C8804668237%2C0141036141&srpt=ABIS_BOOK,https://www.anobii.com/books/senza-un-soldo-a-parigi-e-londra/9788852061844/01262b282d6bf7388b,http://www.yes24.com/Product/Goods/2994345,http://book.naver.com/bookdb/book_detail.naver?bid=4630113,"['Nonfiction\n1,175 users', 'Classics\n1,024 users', 'Autobiography > Memoir\n414 users', 'Biography\n399 users', 'Travel\n316 users', 'History\n224 users', 'Literature\n215 users', 'Cultural > France\n197 users', 'European Literature > British Literature\n133 users']",213,4.05,"['35%', '42%', '17%', '4%', '2%']",75428,4750,Published March 15th 1972 by Mariner Books (first published 1933),4.6,"['73%', '17%', '7%', '1%', '2%']",1445.0,461.0
32,나를 찾아줘,Find me,9788971848722.0,길리언 플린,Gillian Flynn,https://www.amazon.com/Gone-Girl-English-Gillian-Flynn-ebook/dp/B007ZXK08C/,https://www.goodreads.com/book/show/19288043-gone-girl,https://www.amazon.it/Lamore-bugiardo-Ogni-storia-facce-ebook/dp/B01GU6820C/ref=sr_1_1?keywords=L%27amore+bugiardo&qid=1636512770&qsid=260-7043333-5119002&s=books&sr=1-1&sres=B01GU6820C%2C8868924382%2C8833662314%2C8827825983%2CB09BFSZS4H%2C8892351249%2C8831658085%2C8892354159%2C8822741870%2C1076473881%2CB08RGYSYYW%2C8851194327%2CB084DPJMHD%2C1541012976%2C8822739264%2C8866321923&srpt=ABIS_EBOOKS,https://www.anobii.com/books/l-amore-bugiardo/013ac0e603f9cd104c,http://www.yes24.com/Product/Goods/8586252,http://book.naver.com/bookdb/book_detail.naver?bid=7158730,"['Fiction\n12,727 users', 'Mystery\n10,758 users', 'Thriller\n7,957 users', 'Mystery > Crime\n2,884 users', 'Thriller > Mystery Thriller\n2,596 users', 'Suspense\n2,350 users', 'Contemporary\n2,158 users', 'Adult\n1,873 users', 'Adult Fiction\n1,364 users']",415,4.09,"['42%', '36%', '16%', '5%', '3%']",2575346,137343,Published April 22nd 2014 by Broadway Books (first published May 14th 2012),4.1,"['50%', '25%', '13%', '6%', '6%']",54033.0,46337.0
33,나는 언제나 옳다,I am always right,9791156756309.0,길리언 플린,Gillian Flynn,https://www.amazon.com/Grownup-Gillian-Flynn/dp/0804188971/,https://www.goodreads.com/book/show/26025580-the-grownup,https://www.amazon.it/buon-presagio-Gillian-Flynn/dp/8817087734/ref=sr_1_1?keywords=Un+buon+presagio&qid=1636512791&qsid=260-7043333-5119002&s=books&sr=1-1&sres=8817087734%2C8804713186%2C8804712023%2C8817001791%2C8817088455%2C8841284374%2C844500669X%2C1472258290%2C1473227836%2C8817101761%2C0552176451%2C0804138338%2C1472261283,https://www.anobii.com/books/un-buon-presagio/9788858685198/01e8f3bfd4540898b8,http://www.yes24.com/Product/Goods/23210402,http://book.naver.com/bookdb/book_detail.naver?bid=9833438,"['Fiction\n1,415 users', 'Short Stories\n1,366 users', 'Horror\n1,005 users', 'Thriller\n950 users', 'Mystery\n827 users', 'Thriller > Mystery Thriller\n407 users', 'Audiobook\n385 users', 'Adult\n314 users', 'Suspense\n215 users']",64,3.57,"['19%', '35%', '33%', '10%', '3%']",112518,12526,Published November 3rd 2015 by Crown (first published June 17th 2014),4.0,"['49%', '21%', '16%', '7%', '7%']",2800.0,1445.0
34,다크 플레이스,Dark Place,9788971846933.0,길리언 플린,Gillian Flynn,https://www.amazon.com/Dark-Places-Gillian-Flynn/dp/0307341569/,https://www.goodreads.com/book/show/5886881-dark-places,https://www.amazon.it/Dark-Places-Gillian-Flynn/dp/0804138338/ref=sr_1_1?keywords=Dark+Places&qid=1636512763&qsid=260-7043333-5119002&s=books&sr=1-1&sres=0804138338%2C147284095X%2C1387587803%2C0099537842%2C3596173981%2C173561730X%2C189035001X%2CB088N5G5QL%2C138763965X%2CB008I6JUG8%2C0244517339%2C8856652013%2C1643090429%2C1631680145%2C1938270371%2C8832231352,https://www.anobii.com/books/dark-places/9788856652017/01724bd637a585ab1a,http://www.yes24.com/Product/Goods/9148699,http://book.naver.com/bookdb/book_detail.naver?bid=7241065,"['Mystery\n4,821 users', 'Fiction\n4,374 users', 'Thriller\n3,692 users', 'Mystery > Crime\n1,566 users', 'Thriller > Mystery Thriller\n1,470 users', 'Suspense\n964 users', 'Adult\n737 users', 'Audiobook\n626 users', 'Horror\n602 users']",349,3.93,"['31%', '41%', '22%', '5%', '2%']",649233,37789,Published May 5th 2009 by Shaye Areheart Books,4.2,"['54%', '26%', '12%', '4%', '3%']",12875.0,8975.0
35,몸을 긋는 소녀,Girl pulling body,9791156755227.0,길리언 플린,Gillian Flynn,https://www.amazon.com/Sharp-Objects-Atlantic-starring-Jean-Marc/dp/0753822210/,https://www.goodreads.com/book/show/18045891-sharp-objects,https://www.amazon.it/Storie-sulla-pelle-Nicolai-Lilin/dp/8806214144/ref=sr_1_1?keywords=Sulla+pelle&qid=1636512784&qsid=260-7043333-5119002&s=books&sr=1-1&sres=8806214144%2C8817101761%2C8831222805%2C8883141210%2C8850250282%2C1687695938%2C1090750080%2C8811687969%2C8836643965%2C8871868277%2CB08H6NMDD6%2C8830617695%2C1636951147%2C1707799296%2C1703989163%2C8864115536&srpt=ABIS_BOOK,https://www.anobii.com/books/sulla-pelle/9788858508275/010b8e2110d04e5b00,http://www.yes24.com/Product/Goods/14306711,http://book.naver.com/bookdb/book_detail.naver?bid=8064878,"['Mystery\n5,338 users', 'Fiction\n5,310 users', 'Thriller\n4,444 users', 'Mystery > Crime\n1,737 users', 'Thriller > Mystery Thriller\n1,692 users', 'Suspense\n1,078 users', 'Adult\n943 users', 'Contemporary\n863 users', 'Audiobook\n845 users']",254,3.99,"['34%', '40%', '20%', '5%', '2%']",798304,49661,Published 2006 by Broadway Paperbacks,4.4,"['62%', '22%', '10%', '3%', '3%']",12809.0,7032.0
36,"아이, 로봇","I, robot",9788980409259.0,아이작 아시모프,Isaac Asimov,https://www.amazon.com/I-Robot-Isaac-Asimov/dp/0553803700/,https://www.goodreads.com/book/show/41804.I_Robot,https://www.amazon.it/I-Robot-Isaac-Asimov/dp/000753227X/ref=sr_1_1?keywords=Io%2C+Robot&qid=1636513530&qsid=260-7043333-5119002&s=books&sr=1-1&sres=000753227X%2C8897846572%2C8851148422%2C8804735112%2C8845223868%2C0008277818%2C8842820180%2C8888865098%2C8828507713%2C8804729198%2C8842825506%2C8828507551%2CB08C9C5G1C%2C8804724110%2C8820072580%2C8863240221&srpt=ABIS_BOOK,https://www.anobii.com/books/io-robot/01d0a0a198cf57e4dc,http://www.yes24.com/Product/Goods/3021269,http://book.naver.com/bookdb/book_detail.naver?bid=4684707,"['Science Fiction\n6,875 users', 'Fiction\n2,737 users', 'Classics\n1,549 users', 'Short Stories\n984 users', 'Science Fiction Fantasy\n439 users', 'Fantasy\n282 users', 'Science Fiction > Robots\n273 users', 'Audiobook\n181 users', 'Novels\n167 users']",224,4.21,"['43%', '38%', '16%', '2%', '1%']",301424,7765,Published June 2004 by Bantam Books (first published December 2nd 1950),4.6,"['69%', '21%', '8%', '2%', '1%']",2339.0,578.0
37,아자젤 Azazel,Azazel Azazel,9788932917009.0,아이작 아시모프,Isaac Asimov,https://www.amazon.com/Azazel-Isaac-Asimov/dp/038524410X,https://www.goodreads.com/en/book/show/71904.Azazel,https://www.amazon.it/Azazel-Isaac-Asimov/dp/880440437X/ref=sr_1_3?__mk_it_IT=ÅMÅŽÕÑ&crid=3L3U4JU3A61IY&keywords=Azazel+asimov&qid=1640269206&sprefix=azazel+asimov%2Caps%2C67&sr=8-3,https://www.anobii.com/books/azazel/01bb6929f33b5dfe91,http://www.yes24.com/Product/Goods/16905739,http://book.naver.com/bookdb/book_detail.naver?bid=8822604,,,,,,,,,,,
38,파운데이션 완전판 세트,Foundation Complete Edition Set,9788960177635.0,아이작 아시모프,Isaac Asimov,https://www.amazon.com/The-Foundation-Trilogy/dp/0380508567/,https://www.goodreads.com/book/show/46654.The_Foundation_Trilogy,https://www.amazon.it/Fondazione-ciclo-completo-Isaac-Asimov/dp/8804729198/,https://www.anobii.com/books/trilogia-della-fondazione/9788804528647/01f52ad717d3525450,http://www.yes24.com/Product/Goods/11121896,http://book.naver.com/bookdb/book_detail.naver?bid=7320175,"['Science Fiction\n1,972 users', 'Fiction\n840 users', 'Classics\n294 users', 'Science Fiction Fantasy\n137 users', 'Fantasy\n110 users', 'Space > Space Opera\n64 users', 'Literature\n59 users', 'Novels\n50 users', 'Speculative Fiction\n39 users']",679,4.41,"['57%', '30%', '10%', '2%', '1%']",96042,1755,Published January 1st 1974 (first published 1953),4.6,"['81%', '11%', '3%', '1%', '4%']",754.0,280.0
39,메이즈 러너,Maiz Runner,9788983924469.0,제임스 대시너,James Dashner,https://www.goodreads.com/book/show/6186357-the-maze-runner,https://www.goodreads.com/book/show/6186357-the-maze-runner,https://www.amazon.it/gp/product/B00CFI7N3M/,https://www.anobii.com/books/il-labirinto/9788834727065/01e153a17179cdb76b,http://www.yes24.com/Product/Goods/7221040,http://book.naver.com/bookdb/book_detail.naver?bid=6946447,"['Young Adult\n10,969 users', 'Science Fiction > Dystopia\n7,532 users', 'Science Fiction\n4,603 users', 'Fiction\n3,567 users', 'Fantasy\n3,045 users', 'Adventure\n1,361 users', 'Apocalyptic > Post Apocalyptic\n838 users', 'Mystery\n794 users', 'Young Adult > Teen\n663 users']",384,4.03,"['39%', '34%', '19%', '5%', '2%']",1217066,58564,Published October 6th 2009 by Delacorte Press,4.5,"['71%', '18%', '7%', '2%', '2%']",11154.0,6977.0
40,스코치 트라이얼,Scotch Trial,9788983924490.0,제임스 대시너,James Dashner,https://www.amazon.com/Scorch-Trials-James-Dashner/dp/0385738757/,https://www.goodreads.com/book/show/7631105-the-scorch-trials,https://www.amazon.it/fuga-Maze-Runner-2/dp/8834740807/ref=sr_1_1?keywords=La+fuga.+Maze+Runner&qid=1636514249&qsid=260-7043333-5119002&s=books&sr=1-1&sres=8834740807%2C8834734378%2C8891216844%2CB08RBD8P68%2C883474103X%2C883473968X%2C8834734386%2C883473436X%2C8834742168%2C1911490273%2C355131991X%2C0385738765%2C1524771031%2C0385737955%2C1626015678%2CB01LXBL9OA,https://www.anobii.com/books/la-fuga/9788834727072/01667eca79db6c5466,http://www.yes24.com/Product/Goods/7293199,http://book.naver.com/bookdb/book_detail.naver?bid=6964248,"['Young Adult\n5,883 users', 'Science Fiction > Dystopia\n4,484 users', 'Science Fiction\n2,562 users', 'Fiction\n1,786 users', 'Fantasy\n1,517 users', 'Adventure\n718 users', 'Apocalyptic > Post Apocalyptic\n630 users', 'Young Adult > Teen\n361 users', 'Audiobook\n339 users']",362,3.9,"['33%', '36%', '23%', '7%', '2%']",503577,27353,Published October 12th 2010 by Delacorte Press,4.5,"['71%', '17%', '7%', '2%', '2%']",6356.0,3868.0
41,데스 큐어,Death Cure,9788983925251.0,제임스 대시너,James Dashner,https://www.amazon.com/Death-Cure-James-Dashner/dp/0385738773/,https://www.goodreads.com/book/show/7864437-the-death-cure,https://www.amazon.it/rivelazione-Maze-Runner-3/dp/883473436X/ref=sr_1_1?keywords=La+rivelazione.+Maze+Runner&qid=1636514285&qsid=260-7043333-5119002&s=books&sr=1-1&sres=883473436X%2C883474103X%2C883473968X%2C8834740807%2C8834734378%2C8834734386%2C1908435208%2C0385738765%2CB09825GZN2&srpt=ABIS_BOOK,https://www.anobii.com/books/la-rivelazione/9788834725597/015cd1bf3216aaa9e3,http://www.yes24.com/Product/Goods/14061459,http://book.naver.com/bookdb/book_detail.naver?bid=7917470,"['Young Adult\n4,800 users', 'Science Fiction > Dystopia\n3,891 users', 'Science Fiction\n2,091 users', 'Fiction\n1,501 users', 'Fantasy\n1,218 users', 'Adventure\n546 users', 'Apocalyptic > Post Apocalyptic\n526 users', 'Audiobook\n302 users', 'Young Adult > Teen\n292 users']",325,3.77,"['30%', '33%', '26%', '9%', '3%']",380035,24220,Published October 11th 2011 by Delacorte Books for Young Readers,4.5,"['69%', '18%', '8%', '3%', '2%']",5628.0,3506.0
42,킬 오더,Kill Order,9788983925848.0,제임스 대시너,James Dashner,https://www.amazon.com/Kill-Order-James-Dashner/dp/0385742886/,https://www.goodreads.com/book/show/13089710-the-kill-order,https://www.amazon.it/mutazione-Maze-Runner-James-Dashner/dp/8834734378/ref=sr_1_1?keywords=La+mutazione&qid=1636514263&qsid=260-7043333-5119002&s=books&sr=1-1&sres=8834734378%2C8842097241%2C8833936007%2C8845296253%2C8898693052%2C8842099120%2C8878244244%2C8843093665%2C889663587X%2C8843086634%2CB08WK51ZXZ%2C8899700273%2C9492916568%2C8894537803%2C8894826287%2CB091F75KQT&srpt=ABIS_BOOK,https://www.anobii.com/books/la-mutazione/9788834728536/01a9a064a7a6b35e62,http://www.yes24.com/Product/Goods/19076902,http://book.naver.com/bookdb/book_detail.naver?bid=9204483,"['Young Adult\n1,902 users', 'Science Fiction > Dystopia\n1,698 users', 'Science Fiction\n927 users', 'Fiction\n701 users', 'Fantasy\n458 users', 'Apocalyptic > Post Apocalyptic\n252 users', 'Adventure\n199 users', 'Audiobook\n122 users', 'Young Adult > Teen\n120 users']",327,3.71,"['30%', '30%', '26%', '10%', '4%']",189584,10303,Published August 14th 2012 by Delacorte Books for Young Readers,4.5,"['71%', '15%', '8%', '4%', '3%']",3139.0,1729.0
43,윔피키드 1,Wimpikid 1,9788993055023.0,제프 키니,Jeff Kinney,https://www.amazon.com/gp/product/0810993139/ref=x_gr_w_bb_glide_sout?ie=UTF8&tag=x_gr_w_bb_glide_sout-20&linkCode=as2&camp=1789&creative=9325&creativeASIN=0810993139&SubscriptionId=1MGPYB6YW3HWK55XCGG2,https://www.goodreads.com/book/show/389627.Diary_of_a_Wimpy_Kid,https://www.amazon.it/Diario-una-schiappa-Ediz-illustrata/dp/8880334395/ref=sr_1_2?keywords=Diario+di+una+schiappa&qid=1640806878&s=books&sr=1-2,https://www.anobii.com/books/diario-di-una-schiappa/9788880334392/01024bad44e3f0e816,http://www.yes24.com/Product/Goods/2901450,http://book.naver.com/bookdb/book_detail.naver?bid=4513691,,,,,,,,,,,
44,윔피키드 5,Wimpikid 5,9788965590064.0,제프 키니,Jeff Kinney,https://www.amazon.com/gp/product/0810984911/ref=x_gr_w_bb_sout?ie=UTF8&tag=x_gr_w_bb_sout-20&linkCode=as2&camp=1789&creative=9325&creativeASIN=0810984911&SubscriptionId=1MGPYB6YW3HWK55XCGG2,https://www.goodreads.com/book/show/7823678-the-ugly-truth,https://www.amazon.it/Diario-una-schiappa-dura-verità/dp/8880336185/ref=sr_1_14?keywords=Diario+di+una+Schiappa&qid=1640807800&s=books&sr=1-14,https://www.anobii.com/books/diario-di-una-schiappa/9788880336181/013cfb52c17f15044b,http://www.yes24.com/Product/Goods/4448535,http://book.naver.com/bookdb/book_detail.naver?bid=6418151,,,,,,,,,,,
45,노인의 전쟁,Elderly war,9788946417410.0,존 스칼지,John Scalzi,https://www.amazon.com/gp/product/B000SEIK2S/,https://www.goodreads.com/book/show/36510196-old-man-s-war,https://www.amazon.it/Morire-vivere-John-Scalzi/dp/8889541903/ref=sr_1_1?__mk_it_IT=ÅMÅŽÕÑ&crid=16U0ZPSBI6DKU&keywords=Morire+per+vivere+john+scalzi&qid=1640808148&s=books&sprefix=morire+per+vivere+john+scalzi%2Cstripbooks%2C75&sr=1-1,https://www.anobii.com/books/morire-per-vivere/9788889541906/014a70daabb6bd639b,http://www.yes24.com/Product/Goods/3262412,http://book.naver.com/bookdb/book_detail.naver?bid=5347190,"['Science Fiction\n5,230 users', 'Fiction\n1,491 users', 'Space > Space Opera\n552 users', 'War > Military Fiction\n315 users', 'Science Fiction Fantasy\n310 users', 'War\n291 users', 'Space\n237 users', 'Audiobook\n186 users', 'Fantasy\n161 users']",332,4.19,"['44%', '38%', '13%', '3%', '2%']",183603,10253,Published April 1st 2007 by Tor Books (first published December 27th 2005),4.5,"['66%', '25%', '6%', '2%', '1%']",4296.0,2358.0
