,Unnamed: 0,Link_Anobii,Author,Title,ISBN_an,Shelves_An,Num_Rev_An,Num_Voti_An,Stars_An,Num_Pages_An,Pub_Date_An,Lingua_An,Link_Amazon,Link_Amazon2,Title_az,Author_az,ISBN_az,N_Pages_az,Rating_az,Distr_Rating_az,Num_Voti_az,Num_Review_az,Pub_Date_az,Lingua_az
355,355,https://www.anobii.com/books/peter-e-petra/9788861030435/016347819a7d9ce054,Astrid Lindgren,Peter e Petra,9788861030435,"[' Children ', ' Fiction & Literature ']",3,11,3.68,8861030432,"Publication Date
Sep 1, 2011","About this Edition
All Editions",https://affiliates.anobii.com/editions/016347819a7d9ce054/amazon-it,https://www.amazon.it/Peter-Petra-Astrid-Lindgren/dp/8870912442/ref=sr_1_1?keywords=Peter+e+Petra&qid=1636512039&qsid=260-7043333-5119002&s=books&sr=1-1&sres=8870912442%2C8861030432%2C8862293593%2C8851181063%2C0525535470%2C1406337765%2C0735217386%2C8832186993%2C8804362782%2C8833918181%2C6065875627%2C0198777752%2C8804703792%2C2258098475%2C1451662440%2C8862560222&srpt=ABIS_BOOK,Peter e Petra e altri racconti,Astrid Lindgren,978-8870912449,124,5.0,"['100%', '0%', '0%', '0%', '0%', '0%', '0%', '0%', '0%', '0%', '0%', '0%', '0%']",4.0,1.0,"
Editore
‏
:
‎

Iperborea (24 ottobre 2018)
","
Lingua
‏
:
‎

Italiano
"
356,356,https://www.anobii.com/books/pippi-calzelunghe/9788831008235/01af6005c0e9532d7d,Astrid Lindgren,Pippi Calzelunghe,9788831008235,"[' Children ', ' Humour ', ' Fiction & Literature ']",2,2,4.5,292,"Publisher
Salani (I pockettini)",About this Edition,https://affiliates.anobii.com/editions/01af6005c0e9532d7d/amazon-it,https://www.amazon.it/Pippi-Calzelunghe-Astrid-Lindgren/dp/889381076X/ref=sr_1_1?keywords=Pippi+Calzelunghe&qid=1636512046&qsid=260-7043333-5119002&s=books&sr=1-1&sres=889381076X%2C8831003801%2C8804684429%2C8883731441%2C8865802901%2C888373064X%2C8866163414%2CB0881VKLFD%2C8883732200%2C8893081431%2C8893811499%2C8869187330%2C8817086134%2C0192758233%2CB096TJNCZX%2C8898519273&srpt=ABIS_BOOK,Pippi Calzelunghe. Nuova ediz.,Astrid Lindgren,978-8893810760,292,4.6,"['75%', '18%', '4%', '2%', '1%']",336.0,118.0,"
Editore
‏
:
‎

Salani; New edizione (30 marzo 2017)
","
Lingua
‏
:
‎

Italiano
"
357,357,https://www.anobii.com/books/pippi-calzelunghe-1/01be521840a38e1daa,Astrid Lindgren,Pippi Calzelunghe 1,A000151639,error,14,4,3.75,151639,"Publisher
Vallecchi Editore Firenze",About this Edition,https://affiliates.anobii.com/editions/01be521840a38e1daa/amazon-it,https://www.amazon.it/Dante-bambini-Inferno-Federico-Corradini/dp/B08TN72BZX/ref=sr_1_1?keywords=Pippi+Calzelunghe+1&qid=1636512054&qsid=260-7043333-5119002&s=books&sr=1-1&sres=B08TN72BZX%2CB096TJNCZX%2C1770461310%2C3789179434%2CB08S2P8KXY%2CB092P62RKY%2CB09HQ2KJDM%2C8869187330%2CB08HGNS74G%2CB08GVGCJ69%2C8864900705%2CB086B8D4ZR%2C8895703405%2CB08M8CRKZH%2C1077079761%2C1635783178&srpt=ABIS_BOOK,Dante per bambini. Inferno,Federico Corradini,979-1220079853,280,4.7,"['84%', '7%', '6%', '0%', '0%', '0%', '2%']",116.0,54.0,"
ASIN
‏
:
‎

B08TN72BZX
","
Editore
‏
:
‎

Federico Corradini (20 gennaio 2021)
"
358,358,https://www.anobii.com/books/pippi-calzelunghe-2/01ed7bce8f01d8420f,Astrid Lindgren,Pippi Calzelunghe 2,A000151652,error,1,8,4.12,151652,"Publisher
Vallecchi Editore Firenze",About this Edition,https://affiliates.anobii.com/editions/01ed7bce8f01d8420f/amazon-it,https://www.amazon.it/Lotta-Combinaguai-Astrid-Lindgren/dp/8804684429/ref=sr_1_1?keywords=Pippi+Calzelunghe+2&qid=1636512061&qsid=260-7043333-5119002&s=books&sr=1-1&sres=8804684429%2C0192758233%2C1474958036%2CB08TN72BZX%2CB096TJNCZX%2CB09HQ2KJDM%2CB08S2P8KXY%2C8869187330%2C1077079761%2C1635783178%2CB092P62RKY%2CB08LNBWD8X%2CB086B8D4ZR%2CB08LNG9XS8%2C8851163758%2CB08LNBVJ44&srpt=ABIS_BOOK,Lotta Combinaguai. Oscar Junior,Astrid Lindgren,978-8804684428,136,4.7,"['80%', '15%', '4%', '0%', '0%', '0%', '1%']",186.0,64.0,"
Editore
‏
:
‎

Mondadori (6 febbraio 2018)
","
Lingua
‏
:
‎

Italiano
"
359,359,https://www.anobii.com/books/pippi-calzelunghe-3/013219eadbbbcb54bb,Astrid Lindgren,Pippi Calzelunghe 3,A000153413,error,7,4,3.75,153413,"Publisher
Vallecchi Editore Firenze",About this Edition,https://affiliates.anobii.com/editions/013219eadbbbcb54bb/amazon-it,https://www.amazon.it/calzelunghe-volumi-Ingrid-Isabella-Lindgren/dp/B00RXZJF4C/ref=sr_1_1?keywords=Pippi+Calzelunghe+3&qid=1636512067&qsid=260-7043333-5119002&s=books&sr=1-1&sres=B00RXZJF4C%2C889381076X%2C8831003801%2C8883732200%2C8893081431%2CB09HQ2KJDM%2C1474958036%2CB096TJNCZX%2CB08TN72BZX%2CB08S2P8KXY%2C1770461310%2C8804657758%2C1635783178%2CB092P62RKY%2C1077079761%2CB08LNMSNKW&srpt=ABIS_BOOK,Pippi calzelunghe tre volumi,Ingrid Vang Nyman A cura di Isabella Fanti Astrid Lindgren,error,error,error,"['0%', '0%', '0%', '0%', '0%', '0%', '0%', '0%', '0%', '0%']",error,error,"
ASIN
‏
:
‎

B00RXZJF4C
","
Editore
‏
:
‎

Editori (1 gennaio 1971)
"
360,360,https://www.anobii.com/books/pippi-calzelunghe-a-fumetti/9788877825131/0187f109f2559d2ff2,Astrid Lindgren,Pippi Calzelunghe a fumetti,9788877825131,error,12,7,3.86,64,"Publisher
Salani",About this Edition,https://affiliates.anobii.com/editions/0187f109f2559d2ff2/amazon-it,https://www.amazon.it/Pippi-villa-Villacolle-altre-storie/dp/8893081431/ref=sr_1_1?keywords=Pippi+Calzelunghe+a+fumetti&qid=1636512074&qsid=260-7043333-5119002&s=books&sr=1-1&sres=8893081431%2C8877825138%2C8831003801%2CB08TN72BZX%2CB096TJNCZX%2C1770461310%2CB092P62RKY%2C1077079761%2CB09HQ2KJDM%2CB08S2P8KXY%2CB086B8D4ZR%2C8851163758%2C195028073X&srpt=ABIS_BOOK,Pippi a villa Villacolle e altre storie. Ediz. illustrata,Astrid Lindgren,978-8893081436,96,4.5,"['64%', '23%', '13%', '0%', '0%', '0%', '0%', '0%', '0%']",11.0,8.0,"
Editore
‏
:
‎

Nord-Sud; Illustrated edizione (26 novembre 2020)
","
Lingua
‏
:
‎

Italiano
"
361,361,https://www.anobii.com/books/pippi-calzelunghe-al-parco-di-humlegarden/9788883730832/01515db25f0f0c1133,Astrid Lindgren,Pippi Calzelunghe al parco di Humlegarden,9788883730832,error,19,4,3.25,8883730836,"Publisher
La Nuova Frontiera",About this Edition,https://affiliates.anobii.com/editions/01515db25f0f0c1133/amazon-it,https://www.amazon.it/Pippi-Calzelunghe-parco-Humlegarden-illustrata/dp/8883730836/ref=sr_1_1?keywords=Pippi+Calzelunghe+al+parco+di+Humlegarden&qid=1636512081&qsid=260-7043333-5119002&s=books&sr=1-1&sres=8883730836,Pippi Calzelunghe al parco di Humlegarden. Ediz. illustrata,Astrid Lindgren,978-8883730832,18,4.2,"['58%', '0%', '0%', '0%', '42%', '0%', '0%', '0%', '0%', '0%', '0%']",5.0,4.0,"
Editore
‏
:
‎

La Nuova Frontiera; Illustrated edizione (2 febbraio 2007)
","
Lingua
‏
:
‎

Italiano
"
362,362,https://www.anobii.com/books/pippi-calzelunghe-letto-da-marina-massironi-audiolibro-cd-audio-formato-mp3/9788895703701/0238185d98693d8652,Astrid Lindgren,Pippi Calzelunghe letto da Marina Massironi. Audiolibro. CD Audio formato MP3,9788895703701,error,0,0,0.0,8895703707,"Publisher
Emons Edizioni",About this Edition,https://affiliates.anobii.com/editions/0238185d98693d8652/amazon-it,https://www.amazon.it/Pippi-Calzelunghe/dp/B085T44TJP/ref=sr_1_1?keywords=Pippi+Calzelunghe+letto+da+Marina+Massironi.+Audiolibro.+CD+Audio+formato+MP3&qid=1636512088&qsid=260-7043333-5119002&s=books&sr=1-1&sres=8895703405&srpt=ABIS_BOOK,Pippi Calzelunghe,Astrid Lindgren,error,error,4.6,"['75%', '18%', '4%', '2%', '1%']",336.0,118.0,error,error
363,363,https://www.anobii.com/books/pippi-a-villa-villacolle-e-altre-storie/9788865260098/011e19261a012ee92e,Astrid Lindgren,Pippi a Villa Villacolle e altre storie,9788865260098,error,2,3,4.0,60,"Publisher
Nord-Sud Edizioni",About this Edition,https://affiliates.anobii.com/editions/011e19261a012ee92e/amazon-it,https://www.amazon.it/Pippi-villa-Villacolle-altre-storie/dp/8893081431/ref=sr_1_1?keywords=Pippi+a+Villa+Villacolle+e+altre+storie&qid=1636512095&qsid=260-7043333-5119002&s=books&sr=1-1&sres=8893081431%2C889381076X%2C8831003801%2C8883732200%2C0192758233%2C8898519273&srpt=ABIS_BOOK,Pippi a villa Villacolle e altre storie. Ediz. illustrata,Astrid Lindgren,978-8893081436,96,4.5,"['64%', '23%', '13%', '0%', '0%', '0%', '0%', '0%', '0%']",11.0,8.0,"
Editore
‏
:
‎

Nord-Sud; Illustrated edizione (26 novembre 2020)
","
Lingua
‏
:
‎

Italiano
"
364,364,https://www.anobii.com/books/pippi-a-villa-villacolle-e-altre-storie/9788893081436/022883bd2df7bded60,Astrid Lindgren,Pippi a villa Villacolle e altre storie,9788893081436,error,0,0,0.0,96,"Publisher
Nord-Sud",About this Edition,https://affiliates.anobii.com/editions/022883bd2df7bded60/amazon-it,https://www.amazon.it/Pippi-villa-Villacolle-altre-storie/dp/8893081431/ref=sr_1_1?keywords=Pippi+a+villa+Villacolle+e+altre+storie&qid=1636512102&qsid=260-7043333-5119002&s=books&sr=1-1&sres=8893081431%2C889381076X%2C8831003801%2C8883732200%2C0192758233%2C8898519273&srpt=ABIS_BOOK,Pippi a villa Villacolle e altre storie. Ediz. illustrata,Astrid Lindgren,978-8893081436,96,4.5,"['64%', '23%', '13%', '0%', '0%', '0%', '0%', '0%', '0%']",11.0,8.0,"
Editore
‏
:
‎

Nord-Sud; Illustrated edizione (26 novembre 2020)
","
Lingua
‏
:
‎

Italiano
"
365,365,https://www.anobii.com/books/rasmus-e-il-vagabondo/9788862567879/014d8dda4b0b080893,Astrid Lindgren,Rasmus e il vagabondo,9788862567879,"[' Teens ', ' Children ', ' Fiction & Literature ']",20,196,3.98,8862567871,"Publication Date
Jan 1, 2012","About this Edition
All Editions",https://affiliates.anobii.com/editions/014d8dda4b0b080893/amazon-it,https://www.amazon.it/Rasmus-vagabondo-Astrid-Lindgren/dp/883100378X/ref=sr_1_1?keywords=Rasmus+e+il+vagabondo&qid=1636512109&qsid=260-7043333-5119002&s=books&sr=1-1&sres=883100378X%2C880033072X%2CB00B1P7S26%2CB00GY1A53G%2CB07MVMXZ9C%2C8893818299%2C8861030688%2C8898523270%2C8828201274%2C8861030440%2C8861030637%2C8893811499%2C8893819988%2C8862560222%2C8893817713%2C8877829362&srpt=ABIS_BOOK,Rasmus e il vagabondo,Astrid Lindgren,978-8831003780,240,4.7,"['77%', '17%', '6%', '0%', '0%', '0%', '0%', '0%', '0%']",27.0,10.0,"
Editore
‏
:
‎

Salani (27 agosto 2020)
","
Lingua
‏
:
‎

Italiano
"
366,366,https://www.anobii.com/books/ronja/9788804445968/010408a940139436eb,Astrid Lindgren,Ronja,9788804445968,"[' Science Fiction & Fantasy ', ' Children ', ' Fiction & Literature ']",38,382,3.93,168,"Publisher
Mondadori","About this Edition
All Editions",https://affiliates.anobii.com/editions/010408a940139436eb/amazon-it,https://www.amazon.it/Ronja-figlia-Brigante-Astrid-Lindgren/dp/8804725230/ref=sr_1_1?keywords=Ronja&qid=1636512116&qsid=260-7043333-5119002&s=books&sr=1-1&sres=8804725230%2C8804702478%2C0192764020%2C3789108200%2CB09KF4GL19%2C3789129402%2CB09KN9YYC6%2CB09GZFBBB7%2CB09J7KTSPN%2CB09HG647P9%2CB08Z2GX3C5%2CB098GT2SLB%2CB08NRX1T8J%2CB08NRSCS6T%2CB08NDT3B2R%2CB095GQG7LH&srpt=ABIS_BOOK,Ronja. Figlia di brigante,Astrid Lindgren,978-8804725237,192,4.7,"['74%', '18%', '8%', '0%', '0%', '0%', '0%', '0%', '0%']",30.0,9.0,"
Editore
‏
:
‎

Mondadori (5 maggio 2020)
","
Lingua
‏
:
‎

Italiano
"
367,367,https://www.anobii.com/books/ronja-figlia-di-brigante/9788804725237/0276d5de4fa94af182,Astrid Lindgren,Ronja. Figlia di brigante,9788804725237,error,0,0,0.0,192,"Publisher
Mondadori",About this Edition,https://affiliates.anobii.com/editions/0276d5de4fa94af182/amazon-it,https://www.amazon.it/Ronja-figlia-Brigante-Astrid-Lindgren/dp/8804725230/ref=sr_1_1?keywords=Ronja.+Figlia+di+brigante&qid=1636512123&qsid=260-7043333-5119002&s=books&sr=1-1&sres=8804725230%2C8804702478%2C0192764020%2C8862560222%2C8831003801%2CB08MYS9LT2&srpt=ABIS_BOOK,Ronja. Figlia di brigante,Astrid Lindgren,978-8804725237,192,4.7,"['74%', '18%', '8%', '0%', '0%', '0%', '0%', '0%', '0%']",30.0,9.0,"
Editore
‏
:
‎

Mondadori (5 maggio 2020)
","
Lingua
‏
:
‎

Italiano
"
368,368,https://www.anobii.com/books/sos-per-kalle-blomkvist/01ff2acf4544ff29e8,Astrid Lindgren,SOS per Kalle Blomkvist,A000026850,"[' Children ', ' Mystery & Thrillers ']",6,32,4.0,230,"Publisher
Vallecchi","About this Edition
All Editions",https://affiliates.anobii.com/editions/01ff2acf4544ff29e8/amazon-it,https://www.amazon.it/SOS-Kalle-Blomkvist-Astrid-Lindgren/dp/8807921413/ref=sr_1_1?keywords=SOS+per+Kalle+Blomkvist&qid=1636512130&qsid=260-7043333-5119002&s=books&sr=1-1&sres=8807921413%2CB085Y83PFV%2C8807921529%2C0192749277%2C8831003380,SOS per Kalle Blomkvist,Astrid Lindgren,978-8807921414,221,error,"['0%', '0%', '0%', '0%', '0%', '0%', '0%', '0%', '0%', '0%']",error,error,"
Editore
‏
:
‎

Feltrinelli (1 maggio 2009)
","
Lingua
‏
:
‎

Italiano
"
369,369,https://www.anobii.com/books/sorellina-tuttamia/9788861030299/01e33f678437f7f61e,Astrid Lindgren,Sorellina tuttamia,9788861030299,error,2,8,4.25,13,"Publisher
Il Gioco di Leggere",About this Edition,https://affiliates.anobii.com/editions/01e33f678437f7f61e/amazon-it,https://www.amazon.it/Sorellina-tuttamia-illustrata-Astrid-Lindgren/dp/8861030297/ref=sr_1_1?keywords=Sorellina+tuttamia&qid=1636512137&qsid=260-7043333-5119002&s=books&sr=1-1&sres=8861030297,Sorellina tuttamia. Ediz. illustrata,Astrid Lindgren,978-8861030299,32,5.0,"['100%', '0%', '0%', '0%', '0%', '0%', '0%', '0%', '0%', '0%', '0%', '0%', '0%']",4.0,2.0,"
Editore
‏
:
‎

Il Gioco di Leggere; Illustrated edizione (4 giugno 2010)
","
Lingua
‏
:
‎

Italiano
"
370,370,https://www.anobii.com/books/tutte-le-storie-di-pippi-calzelunghe-letto-da-marina-massironi-audiolibro-cd-audio-formato-mp3/9788895703404/015806a7b2b95445d2,Astrid Lindgren,Tutte le storie di Pippi Calzelunghe letto da Marina Massironi. Audiolibro. CD Audio formato MP3,9788895703404,error,3,6,4.0,13,"Publication Date
Jan 1, 2010",About this Edition,https://affiliates.anobii.com/editions/015806a7b2b95445d2/amazon-it,https://www.amazon.it/Pippi-Calzelunghe/dp/B085T44TJP/ref=sr_1_1?keywords=Tutte+le+storie+di+Pippi+Calzelunghe+letto+da+Marina+Massironi.+Audiolibro.+CD+Audio+formato+MP3&qid=1636512144&qsid=260-7043333-5119002&s=books&sr=1-1&sres=8895703405&srpt=ABIS_BOOK,Pippi Calzelunghe,Astrid Lindgren,error,error,4.6,"['75%', '18%', '4%', '2%', '1%']",336.0,118.0,error,error
371,371,https://www.anobii.com/books/tutto-dormira/9791280014344/01a2ef7bc6e641f1f1,Astrid Lindgren,Tutto dormirà,9791280014344,[' Children '],1,0,0.0,28,"Publisher
Camelozampa (Le piume)",About this Edition,https://affiliates.anobii.com/editions/01a2ef7bc6e641f1f1/amazon-it,https://www.amazon.it/Tutto-dormir%C3%A0-Ediz-colori-download/dp/B08W7DPPGL/ref=sr_1_1?keywords=Tutto+dormir%C3%A0&qid=1636512151&qsid=260-7043333-5119002&s=books&sr=1-1&sres=B08W7DPPGL%2CB08F7MTTKJ%2C8858037723%2C8817146900%2C8889920866%2C8851179794%2C8894856550%2CB09DM8YV6Z%2C8820071037%2CB09GJRRRHT%2C880468870X%2C8868369265%2CB08P29DDC2%2C8893815443%2C8850254385%2C8883582144,Tutto dormirà. Ediz. a colori. Con File audio per il download,Astrid Lindgren,979-1280014344,32,4.5,"['50%', '50%', '0%', '0%', '0%', '0%', '0%', '0%', '0%', '0%', '0%']",error,error,"
ASIN
‏
:
‎

B08W7DPPGL
","
Editore
‏
:
‎

Camelozampa; Illustrated edizione (3 giugno 2021)
"
372,372,https://www.anobii.com/books/vacanze-all-isola-dei-gabbiani/9788849403589/0121bf19eb0fc31784,Astrid Lindgren,Vacanze all'isola dei gabbiani,9788849403589,"[' Children ', ' Fiction & Literature ']",114,680,4.29,352,"Publisher
Petrini Editore","About this Edition
All Editions",https://affiliates.anobii.com/editions/0121bf19eb0fc31784/amazon-it,https://www.amazon.it/Vacanze-allisola-gabbiani-Ediz-illustrata/dp/8862560222/ref=sr_1_1?keywords=Vacanze+all%27isola+dei+gabbiani&qid=1636512158&qsid=260-7043333-5119002&s=books&sr=1-1&sres=8862560222%2C8867716328%2CB00ICO7V4E%2C880622512X%2C8831003771%2C8831003798%2C8804646845%2C8807903474%2C8804599111%2C8804673125%2C8893811499%2C8866562440%2C8893818272%2C8809867149%2C8893819988%2C8849409273&srpt=ABIS_BOOK,Vacanze all'isola dei gabbiani. Ediz. illustrata,Astrid Lindgren,978-8862560221,272,4.6,"['71%', '20%', '6%', '1%', '2%']",164.0,38.0,"
Editore
‏
:
‎

Salani; Illustrated edizione (15 settembre 2008)
","
Lingua
‏
:
‎

Italiano
"
373,373,https://www.anobii.com/books/vieni-a-conoscere-pippi-calzelunghe/9788883730641/01ec9581d998d809a6,Astrid Lindgren,Vieni a conoscere Pippi Calzelunghe,9788883730641,error,2,15,4.6,28,"Publisher
La Nuova Frontiera",About this Edition,https://affiliates.anobii.com/editions/01ec9581d998d809a6/amazon-it,https://www.amazon.it/Vieni-conoscere-Calzelunghe-Astrid-Lindgren/dp/888373064X/ref=sr_1_1?keywords=Vieni+a+conoscere+Pippi+Calzelunghe&qid=1636512165&qsid=260-7043333-5119002&s=books&sr=1-1&sres=888373064X%2C889381076X%2C8831003801%2C8893081431%2C8883732200%2C8869187330%2C8898519273%2C8804657758%2C8870912302%2C8893811499%2C8883730836&srpt=ABIS_BOOK,Vieni a conoscere Pippi Calzelunghe,Astrid Lindgren,978-8883730641,28,4.0,"['39%', '30%', '19%', '12%', '0%', '0%', '0%']",12.0,11.0,"
Editore
‏
:
‎

La Nuova Frontiera (14 aprile 2006)
","
Lingua
‏
:
‎

Italiano
"
374,374,https://www.anobii.com/books/voglio-andare-a-scuola/01595de3273aca1e5d,Astrid Lindgren,Voglio andare a scuola,29,error,1,1,4.0,29,"Publisher
Mondadori",About this Edition,https://affiliates.anobii.com/editions/01595de3273aca1e5d/amazon-it,https://www.amazon.it/voglio-andare-scuola-Ediz-colori/dp/8899712301/ref=sr_1_1?keywords=Voglio+andare+a+scuola&qid=1636512172&qsid=260-7043333-5119002&s=books&sr=1-1&sres=8899712301%2C1547553464%2C8868377446%2C8809856546%2C8883622685%2C8859000599%2C8851162212%2C880978510X%2C8817078751%2C8858023455%2C880467069X%2CB09919C92S%2C8858037367%2C8804703911%2C8891516368%2C8804711787&srpt=ABIS_BOOK,Non voglio... andare a scuola. Ediz. a colori,Ana Oom,978-8899712303,28,5.0,"['100%', '0%', '0%', '0%', '0%', '0%', '0%', '0%', '0%', '0%', '0%', '0%', '0%']",1.0,1.0,"
Editore
‏
:
‎

Picarona Italia; Illustrated edizione (6 luglio 2017)
","
Lingua
‏
:
‎

Italiano
"
375,375,https://www.anobii.com/books/voglio-un-fratellino/01507459fb23b3133c,Astrid Lindgren,Voglio un fratellino,29,[' Children '],2,2,4.0,29,"Publisher
Mondadori (Anch'io)",About this Edition,https://affiliates.anobii.com/editions/01507459fb23b3133c/amazon-it,https://www.amazon.it/Uffa-voglio-fratellino-Manuela-Monari/dp/8809047788/ref=sr_1_1?keywords=Voglio+un+fratellino&qid=1636512179&qsid=260-7043333-5119002&s=books&sr=1-1&sres=8809047788%2CB08XFMDMYR%2C8895177738%2C8865321512%2C8865800135%2C8861452760%2C8858017145%2C8809777948%2CB09BT5TDXV%2C1545363293%2CB09BTGGPBN%2C8883731549%2C8899524289&srpt=ABIS_BOOK,"Uffa, voglio un fratellino!",Manuela Monari,978-8809047785,32,4.4,"['66%', '12%', '22%', '0%', '0%', '0%', '0%', '0%', '0%']",11.0,9.0,"
Editore
‏
:
‎

Giunti Kids (19 luglio 2006)
","
Lingua
‏
:
‎

Italiano
"
376,376,https://www.anobii.com/books/angeli-e-demoni/9788852013812/010060eb1bf828a51f,Dan Brown,Angeli e demoni,9788852013812,"[' Science Fiction & Fantasy ', ' Fiction & Literature ', ' Mystery & Thrillers ']",1994,24816,3.74,564,"Publisher
Mondadori","About this Edition
All Editions",https://affiliates.anobii.com/editions/010060eb1bf828a51f/amazon-it,https://www.amazon.it/Angeli-demoni-Dan-Brown/dp/8804667249/ref=sr_1_1?keywords=Angeli+e+demoni&qid=1636512186&qsid=260-7043333-5119002&s=books&sr=1-1&sres=8804667249%2C0813227992%2C8867371088%2C8810503112%2C0061350249%2CB08HTM6BNL%2C8830457205%2C8885939732%2C055216089X%2C8821595951%2C8408175742%2CB08PJQ387J%2C1704725542%2CB088LGHKMF%2CB002OFDSP8%2CB095GFKVW3&srpt=ABIS_BOOK,Angeli e demoni,Dan Brown,978-8804667247,554,4.6,"['78%', '12%', '5%', '2%', '2%']",395.0,180.0,"
Editore
‏
:
‎

Mondadori (24 maggio 2016)
","
Lingua
‏
:
‎

Italiano
"
377,377,https://www.anobii.com/books/crypto/9788804675051/01157a263edc9dcdea,Dan Brown,Crypto,9788804675051,[' Mystery & Thrillers '],2,15,3.53,427,"Publisher
Mondadori",About this Edition,https://affiliates.anobii.com/editions/01157a263edc9dcdea/amazon-it,https://www.amazon.it/gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_stripbooks_sr_pg1_1?ie=UTF8&adId=A016212035AX8S3AOQLI4&url=%2FCriptovalute-Blockchain-definitiva-Conoscere-Decentralizzata%2Fdp%2FB09FC8CF6V%2Fref%3Dsr_1_1_sspa%3Fkeywords%3DCrypto%26qid%3D1636512193%26s%3Dbooks%26sr%3D1-1-spons%26psc%3D1&qualifier=1636512193&id=7135562624327986&widgetName=sp_atf,"Criptovalute & Blockchain: La guida definitiva per Conoscere ed Investire in Bitcoin, Ethereum, Crypto e Finanza Decentralizzata",Steven Bianchi,979-8472036146,120,4.8,"['86%', '8%', '0%', '0%', '0%', '5%', '0%', '0%', '0%']",28.0,23.0,"
ASIN
‏
:
‎

B09FC8CF6V
","
Editore
‏
:
‎

Independently published (6 settembre 2021)
"
378,378,https://www.anobii.com/books/il-codice-da-vinci/01a004a71a06a81561,Dan Brown,Il Codice Da Vinci,A000029866,"[' Science Fiction & Fantasy ', ' Fiction & Literature ', ' Mystery & Thrillers ']",3180,41414,3.73,error,"Publisher
Mondadori","About this Edition
All Editions",https://affiliates.anobii.com/editions/01a004a71a06a81561/amazon-it,https://www.amazon.it/Codice-Vinci-Dan-Brown/dp/8804667222/ref=sr_1_1?keywords=Il+Codice+Da+Vinci&qid=1636512200&qsid=260-7043333-5119002&s=books&sr=1-1&sres=8804667222%2CB00Z6KNFSI%2C8834421175%2CB009UDYLM6%2CB00DWZGN10%2C8804665378%2C8804667249%2C8860480116%2CB08P3D154N%2C8804667257%2C8809873505%2C8870945669%2C8889369884%2CB08P18NGK1%2C8809865553%2CB0898WHV4R&srpt=ABIS_BOOK,Il Codice da Vinci,Dan Brown,978-8804667223,512,4.6,"['74%', '17%', '4%', '2%', '2%']",536.0,239.0,"
Editore
‏
:
‎

Mondadori; Prima edizione Leggo Facile (24 maggio 2016)
","
Lingua
‏
:
‎

Italiano
"
379,379,https://www.anobii.com/books/il-codice-da-vinci/9788804651017/02db9bb8a1575545e0,Dan Brown,Il Codice da Vinci,9788804651017,error,0,0,0.0,654,"Publisher
Mondadori",About this Edition,https://affiliates.anobii.com/editions/02db9bb8a1575545e0/amazon-it,https://www.amazon.it/Codice-Vinci-Dan-Brown/dp/8804667222/ref=sr_1_1?keywords=Il+Codice+da+Vinci&qid=1636512207&qsid=260-7043333-5119002&s=books&sr=1-1&sres=8804667222%2CB00Z6KNFSI%2C8834421175%2CB009UDYLM6%2CB00DWZGN10%2C8804665378%2C8804667249%2C8860480116%2CB08P3D154N%2C8804667257%2C8809873505%2C8870945669%2C8889369884%2CB08P18NGK1%2C8809865553%2CB0898WHV4R&srpt=ABIS_BOOK,Il Codice da Vinci,Dan Brown,978-8804667223,512,4.6,"['74%', '17%', '4%', '2%', '2%']",536.0,239.0,"
Editore
‏
:
‎

Mondadori; Prima edizione Leggo Facile (24 maggio 2016)
","
Lingua
‏
:
‎

Italiano
"
380,380,https://www.anobii.com/books/il-simbolo-perduto/9788804604723/012c086157261be7b5,Dan Brown,Il simbolo perduto,9788804604723,"[' Science Fiction & Fantasy ', ' Fiction & Literature ', ' Mystery & Thrillers ']",1594,10120,3.48,510,"Publisher
A. Mondadori (Omnibus stranieri)","About this Edition
All Editions",https://affiliates.anobii.com/editions/012c086157261be7b5/amazon-it,https://www.amazon.it/simbolo-perduto-Dan-Brown/dp/8804667257/ref=sr_1_1?keywords=Il+simbolo+perduto&qid=1636512214&qsid=260-7043333-5119002&s=books&sr=1-1&sres=8804667257%2C8871363256%2CB07P4173M2%2CB08CZZ8HZK%2C8804675055%2CB09GZ7NLNP%2C8880934732%2CB075G2WCLF%2C8804665378%2C8893256363%2C8804667249%2CB005SZ7Q86%2C882274067X%2CB08WJZCWZ1%2CB0915VD5KP%2CB09KYDQ391&srpt=ABIS_BOOK,Il simbolo perduto,Dan Brown,978-8804667254,604,4.4,"['65%', '20%', '9%', '4%', '2%']",566.0,257.0,"
Editore
‏
:
‎

Mondadori; 2° edizione (18 maggio 2016)
","
Lingua
‏
:
‎

Italiano
"
