,index,Unnamed: 0,Genere,Title,Author,ISBN,Num_Pages_AZ,Pub_Date_AZ,Lingua_AZ,Avg_Rat_AZ,Distr_Rat_AZ,N_Votes_AZ,N_Reviews_AZ,Link_AZ,Num_Pag_AN,N_Votes_AN,N_Reviews_AN,Avg_Rat_AN,Pub_Date_AN,Genere_Suggerito_AN,Lingua_AN,Link_AN
206,207,207,Fantasy,Beren e Lúthien,"John R. R. Tolkien (Autore),",978-8830101982,272,"
Editore
‏
:
‎

Bompiani (30 ottobre 2019)
","
Lingua
‏
:
‎

Italiano
",4.3,"['69%', '10%', '11%', '5%', '5%']",225.0,53.0,https://www.amazon.it/Beren-L%C3%BAthien-John-R-Tolkien/dp/8830101982/ref=sr_1_51?dchild=1&m=A1IZZI10GE0KEI&qid=1633023766&refinements=p_6%3AA1IZZI10GE0KEI&rnid=1345828031&s=books&sr=1-51,272,107,13,3.79,"Editore
Bompiani (Tascabili narrativa)","[' Fumetti & Graphic Novels ', ' Fantascienza & Fantasy ', ' Narrativa & Letteratura ']","Riguardo questa edizione
Tutte le edizioni",https://www.anobii.com/search/978-8830101982/books
207,208,208,Fantasy,Blood & honey. La strega e il cacciatore (Vol. 2),Shelby Mahurin (Autore),978-8869058042,528,"
Editore
‏
:
‎

HarperCollins Italia (4 marzo 2021)
","
Lingua
‏
:
‎

Italiano
",4.0,"['41%', '32%', '20%', '5%', '3%']",157.0,22.0,https://www.amazon.it/Blood-honey-strega-cacciatore-Vol/dp/8869058042/ref=sr_1_116?dchild=1&m=A1IZZI10GE0KEI&qid=1633023771&refinements=p_6%3AA1IZZI10GE0KEI&rnid=1345828031&s=books&sr=1-116,error,19,4,3.47,error,error,error,https://www.anobii.com/search/978-8869058042/books
208,209,209,Fantasy,Blood of the prophet. Il quarto elemento (Vol. 2),"Kat Ross (Autore),",978-8899635718,306,"
Editore
‏
:
‎

Dunwich Edizioni (2 dicembre 2017)
","
Lingua
‏
:
‎

Italiano
",4.3,"['55%', '28%', '9%', '6%', '3%']",79.0,37.0,https://www.amazon.it/Opal-attraverso-occhi-Daemon-Oblivion/dp/8809829395/ref=sr_1_434?dchild=1&m=A1IZZI10GE0KEI&qid=1634713632&refinements=p_6%3AA1IZZI10GE0KEI&rnid=1345828031&s=books&sr=1-434,306,13,3,3.65,"Publisher
Dunwich",error,About this Edition,https://www.anobii.com/search/978-8899635718/books
209,210,210,Fantasy,Blue. La trilogia delle gemme (Vol. 2),"Kerstin Gier (Autore),",978-8850230884,345,"
Editore
‏
:
‎

TEA (23 maggio 2013)
","
Lingua
‏
:
‎

Italiano
",4.6,"['77%', '15%', '5%', '1%', '2%']",237.0,103.0,https://www.amazon.it/Blue-trilogia-delle-gemme-2/dp/8850230885/ref=sr_1_91?dchild=1&m=A1IZZI10GE0KEI&qid=1633023768&refinements=p_6%3AA1IZZI10GE0KEI&rnid=1345828031&s=books&sr=1-91,error,2278,346,4.16,error,"[' Fantascienza & Fantasy ', ' Narrativa & Letteratura ', ' Rosa ']",error,https://www.anobii.com/search/978-8850230884/books
210,211,211,Fantasy,Brisingr: Vol. 3,Christopher Paolini (Autore),978-8817061643,838,"
Editore
‏
:
‎

RIZZOLI (3 ottobre 2012)
","
Lingua
‏
:
‎

Italiano
",4.7,"['81%', '12%', '4%', '2%', '1%']",256.0,105.0,https://www.amazon.it/Brisingr-3-Christopher-Paolini/dp/8817061646/ref=sr_1_147?dchild=1&m=A1IZZI10GE0KEI&qid=1633023773&refinements=p_6%3AA1IZZI10GE0KEI&rnid=1345828031&s=books&sr=1-147,error,5080,452,3.73,error,error,error,https://www.anobii.com/search/978-8817061643/books
211,213,213,Fantasy,Caraval,"Stephanie Garber (Autore),",978-8817105927,430,"
Editore
‏
:
‎

BUR Biblioteca Univ. Rizzoli (30 ottobre 2018)
","
Lingua
‏
:
‎

Italiano
",4.4,"['65%', '21%', '7%', '3%', '3%']",219.0,90.0,https://www.amazon.it/Caraval-Stephanie-Garber/dp/8817105929/ref=sr_1_28?dchild=1&m=A1IZZI10GE0KEI&qid=1633023764&refinements=p_6%3AA1IZZI10GE0KEI&rnid=1345828031&s=books&sr=1-28,error,0,0,0.0,error,error,error,https://www.anobii.com/search/978-8817105927/books
212,214,214,Fantasy,Chiedimi la luna,Cristiano Caccamo (Autore),978-8869058394,160,"
Editore
‏
:
‎

HarperCollins Italia (10 settembre 2020)
","
Lingua
‏
:
‎

Italiano
",4.1,"['56%', '14%', '18%', '5%', '6%']",144.0,25.0,https://www.amazon.it/Chiedimi-luna-Cristiano-Caccamo/dp/8869058395/ref=sr_1_282?dchild=1&m=A1IZZI10GE0KEI&qid=1633023784&refinements=p_6%3AA1IZZI10GE0KEI&rnid=1345828031&s=books&sr=1-282,160,8,2,2.75,"Editore
HarperCollins Italia",error,Riguardo questa edizione,https://www.anobii.com/search/978-8869058394/books
213,215,215,Fantasy,Cien años de soledad [Lingua spagnola],Gabriel García Márquez (Autore),978-8497592208,494,"
Editore
‏
:
‎

De Borsillo; 1° edizione (1 luglio 2011)
","
Lingua
‏
:
‎

Spagnolo
",4.7,"['84%', '9%', '4%', '1%', '2%']",5339.0,1218.0,https://www.amazon.it/Cien-soledad-Gabriel-Garc%C3%ADa-M%C3%A1rquez/dp/8497592204/ref=sr_1_140?dchild=1&m=A1IZZI10GE0KEI&qid=1633023772&refinements=p_6%3AA1IZZI10GE0KEI&rnid=1345828031&s=books&sr=1-140,error,26552,2689,4.4,error,"[' Famiglia, Sesso & Relazioni ', ' Fantascienza & Fantasy ', ' Narrativa & Letteratura ']",error,https://www.anobii.com/search/978-8497592208/books
214,216,216,Fantasy,Città degli angeli caduti. Shadowhunters. The mortal instruments (Vol. 4),"Cassandra Clare (Autore),",978-8804716655,456,"
Editore
‏
:
‎

Mondadori; 8° edizione (3 dicembre 2019)
","
Lingua
‏
:
‎

Italiano
",4.6,"['77%', '14%', '6%', '1%', '2%']",359.0,160.0,https://www.amazon.it/angeli-caduti-Shadowhunters-mortal-instruments/dp/8804716657/ref=sr_1_121?dchild=1&m=A1IZZI10GE0KEI&qid=1633023771&refinements=p_6%3AA1IZZI10GE0KEI&rnid=1345828031&s=books&sr=1-121,441,2,3,5.0,"Editore
Mondadori (Oscar fantastica)",[' Fantascienza & Fantasy '],Riguardo questa edizione,https://www.anobii.com/search/978-8804716655/books
215,217,217,Fantasy,Città del fuoco celeste. Shadowhunters. The mortal instruments (Vol. 6),"Cassandra Clare (Autore),",978-8804716686,720,"
Editore
‏
:
‎

Mondadori; 8° edizione (3 dicembre 2019)
","
Lingua
‏
:
‎

Italiano
",4.7,"['80%', '14%', '4%', '1%', '1%']",361.0,150.0,https://www.amazon.it/Citt%C3%A0-celeste-Shadowhunters-mortal-instruments/dp/8804716681/ref=sr_1_97?dchild=1&m=A1IZZI10GE0KEI&qid=1633023770&refinements=p_6%3AA1IZZI10GE0KEI&rnid=1345828031&s=books&sr=1-97,error,1,3,5.0,error,error,error,https://www.anobii.com/search/978-8804716686/books
216,218,218,Fantasy,Città delle anime perdute. Shadowhunters. The mortal instruments (Vol. 5),"Cassandra Clare (Autore),",978-8804716679,564,"
Editore
‏
:
‎

Mondadori; 8° edizione (3 dicembre 2019)
","
Lingua
‏
:
‎

Italiano
",4.7,"['79%', '12%', '6%', '1%', '2%']",310.0,138.0,https://www.amazon.it/Citt%C3%A0-perdute-Shadowhunters-mortal-instruments/dp/8804716673/ref=sr_1_86?dchild=1&m=A1IZZI10GE0KEI&qid=1633023768&refinements=p_6%3AA1IZZI10GE0KEI&rnid=1345828031&s=books&sr=1-86,error,1,2,5.0,error,error,error,https://www.anobii.com/search/978-8804716679/books
217,219,219,Fantasy,Città di cenere. Shadowhunters. The mortal instruments (Vol. 2),"Cassandra Clare (Autore),",978-8804716631,468,"
Editore
‏
:
‎

Mondadori; 10° edizione (3 dicembre 2019)
","
Lingua
‏
:
‎

Italiano
",4.6,"['75%', '17%', '6%', '1%', '1%']",402.0,171.0,https://www.amazon.it/Citt%C3%A0-cenere-Shadowhunters-mortal-instruments/dp/8804716630/ref=sr_1_56?dchild=1&m=A1IZZI10GE0KEI&qid=1633023766&refinements=p_6%3AA1IZZI10GE0KEI&rnid=1345828031&s=books&sr=1-56,error,3,5,4.67,error,error,error,https://www.anobii.com/search/978-8804716631/books
218,220,220,Fantasy,Città di ossa. Shadowhunters. The mortal instruments (Vol. 1),"Cassandra Clare (Autore),",978-8804716624,516,"
Editore
‏
:
‎

Mondadori; 11° edizione (3 dicembre 2019)
","
Lingua
‏
:
‎

Italiano
",4.6,"['73%', '17%', '6%', '2%', '2%']",646.0,330.0,https://www.amazon.it/Citt%C3%A0-ossa-Shadowhunters-mortal-instruments/dp/8804716622/ref=sr_1_33?dchild=1&m=A1IZZI10GE0KEI&qid=1633023765&refinements=p_6%3AA1IZZI10GE0KEI&rnid=1345828031&s=books&sr=1-33,error,7,8,4.21,error,error,error,https://www.anobii.com/search/978-8804716624/books
219,221,221,Fantasy,Città di vetro. Shadowhunters. The mortal instruments (Vol. 3),"Cassandra Clare (Autore),",978-8804716648,552,"
Editore
‏
:
‎

Mondadori; 9° edizione (3 dicembre 2019)
","
Lingua
‏
:
‎

Italiano
",4.7,"['77%', '17%', '3%', '2%', '1%']",405.0,172.0,https://www.amazon.it/Citt%C3%A0-vetro-Shadowhunters-mortal-instruments/dp/8804716649/ref=sr_1_50?dchild=1&m=A1IZZI10GE0KEI&qid=1633023766&refinements=p_6%3AA1IZZI10GE0KEI&rnid=1345828031&s=books&sr=1-50,error,2,3,4.75,error, Fantascienza & Fantasy ,error,https://www.anobii.com/search/978-8804716648/books
220,222,222,Fantasy,Conan il barbaro,"Robert E. Howard (Autore),",978-8804669685,738,"
Editore
‏
:
‎

Mondadori (31 ottobre 2016)
","
Lingua
‏
:
‎

Italiano
",4.6,"['76%', '16%', '4%', '1%', '2%']",104.0,48.0,https://www.amazon.it/Conan-barbaro-Robert-Howard/dp/8804669683/ref=sr_1_159?dchild=1&m=A1IZZI10GE0KEI&qid=1633023773&refinements=p_6%3AA1IZZI10GE0KEI&rnid=1345828031&s=books&sr=1-159,error,24,6,4.0,error,error,error,https://www.anobii.com/search/978-8804669685/books
221,223,223,Fantasy,Croce d'argento. Winter Fe' saga,Ilaria Varese (Autore),978-8831209427,440,"
Editore
‏
:
‎

La Corte Editore (10 dicembre 2020)
","
Lingua
‏
:
‎

Italiano
",4.6,"['74%', '17%', '6%', '2%', '2%']",344.0,73.0,https://www.amazon.it/Croce-dargento-Winter-Fe-saga/dp/8831209426/ref=sr_1_277?dchild=1&m=A1IZZI10GE0KEI&qid=1633023784&refinements=p_6%3AA1IZZI10GE0KEI&rnid=1345828031&s=books&sr=1-277,error,4,1,4.38,error,error,error,https://www.anobii.com/search/978-8831209427/books
222,224,224,Fantasy,Cronache del mondo emerso. La saga completa,Licia Troisi (Autore),978-8804669920,981,"
Editore
‏
:
‎

Mondadori (31 ottobre 2016)
","
Lingua
‏
:
‎

Italiano
",4.5,"['66%', '21%', '10%', '3%', '1%']",240.0,91.0,https://www.amazon.it/Cronache-mondo-emerso-saga-completa/dp/8804669926/ref=sr_1_83?dchild=1&m=A1IZZI10GE0KEI&qid=1633023768&refinements=p_6%3AA1IZZI10GE0KEI&rnid=1345828031&s=books&sr=1-83,error,17,2,4.03,error,error,error,https://www.anobii.com/search/978-8804669920/books
223,226,226,Fantasy,Dune,"Frank Herbert (Autore, Collaboratore)",978-0340960196,577,"
Editore
‏
:
‎

Coronet; 23° edizione (8 marzo 2016)
","
Lingua
‏
:
‎

Inglese
",4.7,"['80%', '13%', '4%', '1%', '1%']",28446.0,3671.0,https://www.amazon.it/Dune-Frank-Herbert/dp/0340960191/ref=sr_1_7?dchild=1&m=A1IZZI10GE0KEI&qid=1633023763&qsid=257-1850760-1996258&refinements=p_6%3AA1IZZI10GE0KEI&rnid=1345828031&s=books&sr=1-7&sres=8804735147%2C8832750902%2C1408855658%2C8804668083%2C8817068691%2C8831982133%2C0340960191%2C8804709464%2C8804728175%2C8845268349%2C8804702737%2C8804728744%2C8845272400%2C8804717998%2C8842932418%2C8804713267,error,4095,489,4.34,error,error,error,https://www.anobii.com/search/978-0340960196/books
224,228,228,Fantasy,Echi in tempesta. L'Attraversaspecchi (Vol. 4),"Christelle Dabos (Autore),",978-8833572239,576,"
Editore
‏
:
‎

E/O (1 luglio 2020)
","
Lingua
‏
:
‎

Italiano
",4.1,"['52%', '23%', '16%', '5%', '5%']",575.0,91.0,https://www.amazon.it/Echi-tempesta-LAttraversaspecchi-Christelle-Dabos/dp/8833572234/ref=sr_1_72?dchild=1&m=A1IZZI10GE0KEI&qid=1633023767&refinements=p_6%3AA1IZZI10GE0KEI&rnid=1345828031&s=books&sr=1-72,error,389,47,3.31,error,error,error,https://www.anobii.com/search/978-8833572239/books
225,229,229,Fantasy,Eldest: Vol. 2,Christopher Paolini (Autore),978-8817061636,803,"
Editore
‏
:
‎

RIZZOLI (3 ottobre 2012)
","
Lingua
‏
:
‎

Italiano
",4.5,"['75%', '15%', '4%', '3%', '4%']",267.0,105.0,https://www.amazon.it/Eldest-2-Christopher-Paolini/dp/8817061638/ref=sr_1_152?dchild=1&m=A1IZZI10GE0KEI&qid=1633023773&refinements=p_6%3AA1IZZI10GE0KEI&rnid=1345828031&s=books&sr=1-152,error,7531,446,3.7,error,error,error,https://www.anobii.com/search/978-8817061636/books
226,230,230,Fantasy,Elric. La saga,"Michael Moorcock (Autore),",978-8804710240,860,"
Editore
‏
:
‎

Mondadori (10 settembre 2019)
","
Lingua
‏
:
‎

Italiano
",4.6,"['73%', '16%', '7%', '2%', '2%']",163.0,42.0,https://www.amazon.it/saga-Elric-Melnibon%C3%A9-Michael-Moorcock/dp/8804710241/ref=sr_1_232?dchild=1&m=A1IZZI10GE0KEI&qid=1633023781&refinements=p_6%3AA1IZZI10GE0KEI&rnid=1345828031&s=books&sr=1-232,error,20,2,3.92,error,error,error,https://www.anobii.com/search/978-8804710240/books
227,231,231,Fantasy,Eragon: Vol. 1,Christopher Paolini (Autore),978-8817061629,592,"
Editore
‏
:
‎

RIZZOLI; 1° edizione (3 ottobre 2012)
","
Lingua
‏
:
‎

Italiano
",4.7,"['77%', '17%', '4%', '1%', '1%']",337.0,132.0,https://www.amazon.it/Eragon-1-Christopher-Paolini/dp/881706162X/ref=sr_1_79?dchild=1&m=A1IZZI10GE0KEI&qid=1633023767&refinements=p_6%3AA1IZZI10GE0KEI&rnid=1345828031&s=books&sr=1-79,error,9685,805,3.73,error,error,error,https://www.anobii.com/search/978-8817061629/books
228,232,232,Fantasy,Fiabe per adulti consenzienti,"Guido Catalano (Autore),",978-8817139328,160,"
Editore
‏
:
‎

Rizzoli (9 febbraio 2021)
","
Lingua
‏
:
‎

Italiano
",3.8,"['54%', '10%', '14%', '9%', '13%']",93.0,17.0,https://www.amazon.it/Fiabe-adulti-consenzienti-Guido-Catalano/dp/8817139327/ref=sr_1_166?dchild=1&m=A1IZZI10GE0KEI&qid=1633023775&refinements=p_6%3AA1IZZI10GE0KEI&rnid=1345828031&s=books&sr=1-166,error,25,3,3.52,error,error,error,https://www.anobii.com/search/978-8817139328/books
229,233,233,Fantasy,Finale,"Stephanie Garber (Autore),",978-8817149990,492,"
Editore
‏
:
‎

BUR Biblioteca Univ. Rizzoli (19 gennaio 2021)
","
Lingua
‏
:
‎

Italiano
",4.4,"['65%', '19%', '9%', '1%', '5%']",123.0,25.0,https://www.amazon.it/Finale-Stephanie-Garber/dp/8817149993/ref=sr_1_52?dchild=1&m=A1IZZI10GE0KEI&qid=1633023766&refinements=p_6%3AA1IZZI10GE0KEI&rnid=1345828031&s=books&sr=1-52,error,0,0,0.0,error,error,error,https://www.anobii.com/search/978-8817149990/books
230,234,234,Fantasy,Folklore. Antologia fantastica sul folklore italiano,"Alessandro Iascy (a cura di),",978-8887224436,482,"
Editore
‏
:
‎

Watson (27 novembre 2018)
","
Lingua
‏
:
‎

Italiano
",4.4,"['69%', '15%', '7%', '8%', '2%']",88.0,23.0,https://www.amazon.it/Folklore-Antologia-fantastica-folklore-italiano/dp/8887224439/ref=sr_1_63?dchild=1&m=A1IZZI10GE0KEI&qid=1633023766&refinements=p_6%3AA1IZZI10GE0KEI&rnid=1345828031&s=books&sr=1-63,error,9,17,4.39,error,error,error,https://www.anobii.com/search/978-8887224436/books
231,235,235,Fantasy,Fuoco e sangue. Ediz. illustrata,"George R. R. Martin (Autore),",978-8804716785,675,"
Editore
‏
:
‎

Mondadori; Illustrated edizione (5 novembre 2019)
","
Lingua
‏
:
‎

Italiano
",4.3,"['66%', '16%', '7%', '3%', '7%']",381.0,173.0,https://www.amazon.it/Fuoco-sangue-illustrata-George-Martin/dp/8804716789/ref=sr_1_195?dchild=1&m=A1IZZI10GE0KEI&qid=1633023777&refinements=p_6%3AA1IZZI10GE0KEI&rnid=1345828031&s=books&sr=1-195,error,10,21,4.0,error,error,error,https://www.anobii.com/search/978-8804716785/books
232,236,236,Fantasy,Gideon. La nona,"Tamsyn Muir (Autore),",978-8804723639,456,"
Editore
‏
:
‎

Mondadori (17 novembre 2020)
","
Lingua
‏
:
‎

Italiano
",4.4,"['61%', '23%', '12%', '3%', '1%']",233.0,115.0,https://www.amazon.it/Gideon-nona-Tamsyn-Muir/dp/8804723637/ref=sr_1_158?dchild=1&m=A1IZZI10GE0KEI&qid=1633023773&refinements=p_6%3AA1IZZI10GE0KEI&rnid=1345828031&s=books&sr=1-158,error,46,14,4.11,error,error,error,https://www.anobii.com/search/978-8804723639/books
233,237,237,Fantasy,"Good omens. Le belle e accurate profezie di Agnes Nutter, strega","Terry Pratchett (Autore),",978-8804712022,381,"
Editore
‏
:
‎

Mondadori; 1° edizione (25 marzo 2019)
","
Lingua
‏
:
‎

Italiano
",4.6,"['73%', '16%', '8%', '2%', '1%']",359.0,141.0,https://www.amazon.it/Jurassic-Park-Display-16-Pz/dp/8804712023/ref=sr_1_120?dchild=1&m=A1IZZI10GE0KEI&qid=1633023771&refinements=p_6%3AA1IZZI10GE0KEI&rnid=1345828031&s=books&sr=1-120,error,3741,576,4.1,error,error,error,https://www.anobii.com/search/978-8804712022/books
234,239,239,Fantasy,Green. La trilogia delle gemme,"Kerstin Gier (Autore),",978-8850231362,429,"
Editore
‏
:
‎

TEA (27 giugno 2013)
","
Lingua
‏
:
‎

Italiano
",4.6,"['75%', '15%', '6%', '2%', '2%']",235.0,101.0,https://www.amazon.it/Green-trilogia-delle-gemme-Kerstin/dp/8850231369/ref=sr_1_109?dchild=1&m=A1IZZI10GE0KEI&qid=1633023770&refinements=p_6%3AA1IZZI10GE0KEI&rnid=1345828031&s=books&sr=1-109,error,2087,359,4.11,error,error,error,https://www.anobii.com/search/978-8850231362/books
235,240,240,Fantasy,GrishaVerse - Sei di corvi,"Leigh Bardugo (Autore),",978-8804709466,404,"
Editore
‏
:
‎

Mondadori (24 settembre 2019)
","
Lingua
‏
:
‎

Italiano
",4.6,"['75%', '17%', '4%', '2%', '1%']",553.0,108.0,https://www.amazon.it/Six-crows-Leigh-Bardugo/dp/8804709464/ref=sr_1_8?dchild=1&m=A1IZZI10GE0KEI&qid=1633023763&qsid=257-1850760-1996258&refinements=p_6%3AA1IZZI10GE0KEI&rnid=1345828031&s=books&sr=1-8&sres=8804735147%2C8832750902%2C1408855658%2C8804668083%2C8817068691%2C8831982133%2C0340960191%2C8804709464%2C8804728175%2C8845268349%2C8804702737%2C8804728744%2C8845272400%2C8804717998%2C8842932418%2C8804713267,error,238,27,4.14,error,error,error,https://www.anobii.com/search/978-8804709466/books
236,242,242,Fantasy,Harry Potter Boxed Set: The Complete Collection (Adult Paperback): J.K. Rowling - Boxed Set,J.K. Rowling (Autore),978-1408898659,3872,"
Editore
‏
:
‎

Bloomsbury Children's Books; 1° edizione (6 settembre 2018)
","
Lingua
‏
:
‎

Inglese
",4.8,"['89%', '7%', '1%', '1%', '1%']",1889.0,276.0,https://www.amazon.it/Harry-Potter-Boxed-Set-Collection/dp/1408898659/ref=sr_1_200?dchild=1&m=A1IZZI10GE0KEI&qid=1633023777&refinements=p_6%3AA1IZZI10GE0KEI&rnid=1345828031&s=books&sr=1-200,error,0,1,0.0,error,error,error,https://www.anobii.com/search/978-1408898659/books
237,243,243,Fantasy,Harry Potter and the Deathly Hallows: 7/7,J.K. Rowling (Autore),978-1408855713,640,"
Editore
‏
:
‎

Bloomsbury Children's Books; 1° edizione (1 settembre 2014)
","
Lingua
‏
:
‎

Inglese
",4.8,"['91%', '6%', '2%', '1%', '1%']",21744.0,4657.0,https://www.amazon.it/Harry-Potter-Deathly-Hallows-Rowling/dp/1408855712/ref=sr_1_192?dchild=1&m=A1IZZI10GE0KEI&qid=1633023776&refinements=p_6%3AA1IZZI10GE0KEI&rnid=1345828031&s=books&sr=1-192,error,30887,2566,4.44,error,error,error,https://www.anobii.com/search/978-1408855713/books
238,244,244,Fantasy,Harry Potter and the Philosopher's Stone – Ravenclaw Edition,J.K. Rowling (Autore),978-1408883785,368,"
Editore
‏
:
‎

Bloomsbury Children's Books; 1° edizione (1 giugno 2017)
","
Lingua
‏
:
‎

Inglese
",4.7,"['85%', '9%', '2%', '1%', '3%']",1784.0,451.0,https://www.amazon.it/Harry-Potter-Philosophers-Stone-Ravenclaw/dp/1408883783/ref=sr_1_254?dchild=1&m=A1IZZI10GE0KEI&qid=1633023782&refinements=p_6%3AA1IZZI10GE0KEI&rnid=1345828031&s=books&sr=1-254,error,36470,2045,4.28,error,error,error,https://www.anobii.com/search/978-1408883785/books
239,245,245,Fantasy,Harry Potter and the Philosopher's Stone – Slytherin Edition: Slytherin Hufflepuff Edition,J.K. Rowling (Autore),978-1408883761,368,"
Editore
‏
:
‎

Bloomsbury Children's Books; Anniversary edizione (1 giugno 2017)
","
Lingua
‏
:
‎

Inglese
",4.8,"['86%', '9%', '2%', '1%', '2%']",2651.0,631.0,https://www.amazon.it/Harry-Potter-Philosophers-Stone-Slytherin/dp/1408883767/ref=sr_1_256?dchild=1&m=A1IZZI10GE0KEI&qid=1633023782&refinements=p_6%3AA1IZZI10GE0KEI&rnid=1345828031&s=books&sr=1-256,error,36470,2045,4.28,error,error,error,https://www.anobii.com/search/978-1408883761/books
240,246,246,Fantasy,Hollow City. Il secondo libro di Miss Peregrine. La casa dei ragazzi speciali,"Ransom Riggs (Autore),",978-8817095471,430,"
Editore
‏
:
‎

Rizzoli (29 giugno 2017)
","
Lingua
‏
:
‎

Italiano
",4.5,"['72%', '15%', '7%', '4%', '2%']",246.0,90.0,https://www.amazon.it/Hollow-secondo-Peregrine-ragazzi-speciali/dp/8817095478/ref=sr_1_205?dchild=1&m=A1IZZI10GE0KEI&qid=1633023777&refinements=p_6%3AA1IZZI10GE0KEI&rnid=1345828031&s=books&sr=1-205,429,733,92,3.67,"Editore
Rizzoli (Vintage)","[' Fantascienza & Fantasy ', ' Adolescenti ', ' Narrativa & Letteratura ']","Riguardo questa edizione
Tutte le edizioni",https://www.anobii.com/search/978-8817095471/books
241,247,247,Fantasy,Hyperversum Next,Cecilia Randall (Autore),978-8809862210,448,"
Editore
‏
:
‎

Giunti (21 marzo 2018)
","
Lingua
‏
:
‎

Italiano
",4.6,"['77%', '14%', '6%', '1%', '1%']",173.0,101.0,https://www.amazon.it/Hyperversum-Next-Cecilia-Randall/dp/880986221X/ref=sr_1_382?dchild=1&m=A1IZZI10GE0KEI&qid=1633023792&refinements=p_6%3AA1IZZI10GE0KEI&rnid=1345828031&s=books&sr=1-382,error,206,47,4.28,error,error,error,https://www.anobii.com/search/978-8809862210/books
242,248,248,Fantasy,Hyperversum Unknown,Cecilia Randall (Autore),978-8809816053,480,"
Editore
‏
:
‎

Giunti Editore (9 ottobre 2019)
","
Lingua
‏
:
‎

Italiano
",4.7,"['82%', '10%', '5%', '2%', '1%']",186.0,42.0,https://www.amazon.it/Hyperversum-Cecilia-Randall/dp/8809816056/ref=sr_1_145?dchild=1&m=A1IZZI10GE0KEI&qid=1633023773&refinements=p_6%3AA1IZZI10GE0KEI&rnid=1345828031&s=books&sr=1-145,error,53,6,4.37,error,error,error,https://www.anobii.com/search/978-8809816053/books
243,249,249,Fantasy,I figli di Húrin,"John Ronald Reuel Tolkien (Autore),",978-8845272417,340,"
Editore
‏
:
‎

Bompiani (23 gennaio 2013)
","
Lingua
‏
:
‎

Italiano
",4.5,"['70%', '14%', '10%', '3%', '3%']",175.0,79.0,https://www.amazon.it/figli-H%C3%BArin-John-R-Tolkien/dp/8845272419/ref=sr_1_54?dchild=1&m=A1IZZI10GE0KEI&qid=1633023766&refinements=p_6%3AA1IZZI10GE0KEI&rnid=1345828031&s=books&sr=1-54,error,2254,244,3.79,error, Fantascienza & Fantasy ,error,https://www.anobii.com/search/978-8845272417/books
244,250,250,Fantasy,I giardini della luna. La caduta di Malazan (Vol. 1),Steven Erikson (Autore),978-8834430279,660,"
Editore
‏
:
‎

Armenia (6 febbraio 2016)
","
Lingua
‏
:
‎

Italiano
",4.2,"['60%', '19%', '13%', '4%', '4%']",165.0,77.0,https://www.amazon.it/giardini-della-luna-caduta-Malazan/dp/8834430271/ref=sr_1_196?dchild=1&m=A1IZZI10GE0KEI&qid=1633023777&refinements=p_6%3AA1IZZI10GE0KEI&rnid=1345828031&s=books&sr=1-196,660,685,133,3.83,"Editore
Armenia","[' Fantascienza & Fantasy ', ' Adolescenti ', ' Narrativa & Letteratura ']","Riguardo questa edizione
Tutte le edizioni",https://www.anobii.com/search/978-8834430279/books
245,251,251,Fantasy,I grandi giochi. Nevernight (Libro secondo degli accadimenti di Illuminotte),"Jay Kristoff (Autore),",978-8804717966,467,"
Editore
‏
:
‎

Mondadori (3 settembre 2019)
","
Lingua
‏
:
‎

Italiano
",4.5,"['73%', '15%', '5%', '4%', '2%']",275.0,64.0,https://www.amazon.it/giochi-Nevernight-secondo-accadimenti-Illuminotte/dp/8804717963/ref=sr_1_93?dchild=1&m=A1IZZI10GE0KEI&qid=1633023768&refinements=p_6%3AA1IZZI10GE0KEI&rnid=1345828031&s=books&sr=1-93,error,135,12,3.86,error,error,error,https://www.anobii.com/search/978-8804717966/books
246,252,252,Fantasy,I segugi dell'ombra. La caduta di Malazan (Vol. 8),Steven Erikson (Autore),978-8834430347,1240,"
Editore
‏
:
‎

Armenia (16 ottobre 2015)
","
Lingua
‏
:
‎

Italiano
",4.5,"['73%', '15%', '4%', '3%', '4%']",49.0,12.0,https://www.amazon.it/destino-gemelli-leggende-DragonLance-Vol/dp/8834434560/ref=sr_1_440?dchild=1&m=A1IZZI10GE0KEI&qid=1634713632&refinements=p_6%3AA1IZZI10GE0KEI&rnid=1345828031&s=books&sr=1-440,error,65,7,3.98,error,error,error,https://www.anobii.com/search/978-8834430347/books
247,253,253,Fantasy,I signori delle tenebre. Lupo Solitario. Serie Kai: 1 Copertina rigida – 25 nov 2013: Vol. 1,"Joe Dever (Autore),",978-8890498022,550,"
Editore
‏
:
‎

Vincent Books (12 dicembre 2013)
","
Lingua
‏
:
‎

Italiano
",4.7,"['77%', '18%', '2%', '1%', '1%']",225.0,103.0,https://www.amazon.it/signori-delle-tenebre-Solitario-Serie/dp/8890498021/ref=sr_1_60?dchild=1&m=A1IZZI10GE0KEI&qid=1633023766&refinements=p_6%3AA1IZZI10GE0KEI&rnid=1345828031&s=books&sr=1-60,error,29,8,4.22,error,error,error,https://www.anobii.com/search/978-8890498022/books
