,index,Genere,Genere_Suggerito,Pud_Data,Title,Author,ISBN,Num_Pages_GR,Stars_GR,Distr_Rat_GR,N_Votes_GR,N_Reviews_GR,GR_link,Stars_AZ,Distr_Rat_AZ,N_Votes_AZ,N_Reviews_AZ,AZ_link
185,185,Children_Lit,"['Fantasy\n1,454 users', 'Childrens\n353 users', 'Childrens > Middle Grade\n290 users', 'Fiction\n253 users', 'Young Adult\n188 users', 'Adventure\n115 users', 'Fantasy > Magic\n85 users', 'Childrens > Juvenile\n72 users', 'Fantasy > Urban Fantasy\n66 users']",Published October 1st 2003 by Simon Schuster Books for Young Readers,Lucinda's Secret,Tony DiTerlizzi,9780689859380,114,3.88,"['30%', '35%', '28%', '5%', '1%']",34534,1024,https://www.goodreads.com/book/show/280277.Lucinda_s_Secret,4.7,"['80%', '13%', '4%', '1%', '2%']",188.0,54.0,https://www.amazon.it/s?k=9780689859380&i=stripbooks&__mk_it_IT=%C3%85M%C3%85%C5%BD%C3%95%C3%91&ref=nb_sb_noss
186,186,Children_Lit,"['Childrens > Picture Books\n540 users', 'Childrens\n353 users', 'Animals\n144 users', 'Fiction\n82 users', 'Childrens > Storytime\n37 users', 'Classics\n25 users', 'Kids\n20 users', 'Environment > Nature\n19 users', 'Childrens > Juvenile\n13 users']",Published August 16th 1995 by World of Eric Carle (first published March 6th 1985),The Very Busy Spider,Eric Carle,9780399229190,32,4.19,"['49%', '28%', '18%', '4%', '2%']",39136,780,https://www.goodreads.com/book/show/556511.The_Very_Busy_Spider,4.8,"['86%', '8%', '3%', '1%', '1%']",4301.0,722.0,https://www.amazon.it/s?k=9780399229190&i=stripbooks&__mk_it_IT=%C3%85M%C3%85%C5%BD%C3%95%C3%91&ref=nb_sb_noss
187,187,Children_Lit,"['Childrens\n352 users', 'Childrens > Picture Books\n334 users', 'Fiction\n111 users', 'Classics\n67 users', 'Fantasy\n53 users', 'Humor\n35 users', 'Poetry\n28 users', 'Childrens > Juvenile\n17 users', 'Kids\n13 users']",Published December 9th 1989 by Random House Books for Young Readers (first published September 1st 1938),The 500 Hats of Bartholomew Cubbins,Dr. Seuss,9780394844848,56,3.99,"['40%', '30%', '22%', '6%', '3%']",15929,410,https://www.goodreads.com/book/show/7781.The_500_Hats_of_Bartholomew_Cubbins,4.8,"['88%', '8%', '2%', '1%', '2%']",857.0,167.0,https://www.amazon.it/s?k=9780394844848&i=stripbooks&__mk_it_IT=%C3%85M%C3%85%C5%BD%C3%95%C3%91&ref=nb_sb_noss
188,188,Children_Lit,"['Historical > Historical Fiction\n1,581 users', 'Young Adult\n515 users', 'Fiction\n490 users', 'Childrens > Middle Grade\n408 users', 'Childrens\n352 users', 'Historical\n215 users', 'Academic > School\n174 users', 'Realistic Fiction\n157 users', 'Classics\n155 users']",Published September 7th 1999 by Delacorte Books for Young Readers (first published January 1st 1999),"Bud, Not Buddy",Christopher Paul Curtis,9780385323062,243,3.94,"['36%', '34%', '22%', '6%', '3%']",103440,5517,https://www.goodreads.com/book/show/368468.Bud_Not_Buddy,4.7,"['84%', '10%', '4%', '1%', '2%']",3662.0,568.0,https://www.amazon.it/s?k=9780385323062&i=stripbooks&__mk_it_IT=%C3%85M%C3%85%C5%BD%C3%95%C3%91&ref=nb_sb_noss
189,189,Children_Lit,"['Poetry\n628 users', 'Childrens\n351 users', 'Fiction\n159 users', 'Humor\n95 users', 'Fantasy\n93 users', 'Classics\n58 users', 'Childrens > Picture Books\n53 users', 'Fantasy > Fairy Tales\n49 users', 'Childrens > Middle Grade\n42 users']",Published April 28th 2003 by Puffin (first published 1982),Revolting Rhymes,Roald Dahl,9780142302262,48,4.11,"['43%', '33%', '18%', '4%', '2%']",20093,1039,https://www.goodreads.com/book/show/6328.Revolting_Rhymes,4.7,"['84%', '9%', '3%', '2%', '2%']",1112.0,387.0,https://www.amazon.it/s?k=9780142302262&i=stripbooks&__mk_it_IT=%C3%85M%C3%85%C5%BD%C3%95%C3%91&ref=nb_sb_noss
190,190,Children_Lit,"['Fantasy\n1,103 users', 'Classics\n628 users', 'Fiction\n393 users', 'Childrens\n350 users', 'Young Adult\n135 users', 'Adventure\n100 users', 'Childrens > Middle Grade\n72 users', 'Fantasy > Magic\n47 users', 'Audiobook\n47 users']",Published April 2nd 1985 by Puffin Classics (first published 1904),The Marvelous Land of Oz,L. Frank Baum,9780140350418,192,3.79,"['27%', '36%', '29%', '7%', '2%']",21421,1513,https://www.goodreads.com/book/show/179565.The_Marvelous_Land_of_Oz,4.3,"['67%', '14%', '9%', '2%', '8%']",242.0,115.0,https://www.amazon.it/s?k=9780140350418&i=stripbooks&__mk_it_IT=%C3%85M%C3%85%C5%BD%C3%95%C3%91&ref=nb_sb_noss
191,191,Children_Lit,"['Childrens > Middle Grade\n853 users', 'Mystery\n755 users', 'Fiction\n462 users', 'Childrens\n350 users', 'Adventure\n323 users', 'Young Adult\n265 users', 'Childrens > Juvenile\n172 users', 'Fantasy\n163 users', 'Writing > Books About Books\n153 users']",Published June 25th 2013 by Random House Books for Young Readers,Escape from Mr. Lemoncello's Library,Chris Grabenstein,9780375870897,304,4.12,"['42%', '35%', '17%', '4%', '2%']",47693,5984,https://www.goodreads.com/book/show/16054808-escape-from-mr-lemoncello-s-library,4.7,"['82%', '13%', '4%', '1%', '1%']",2184.0,646.0,https://www.amazon.it/s?k=9780375870897&i=stripbooks&__mk_it_IT=%C3%85M%C3%85%C5%BD%C3%95%C3%91&ref=nb_sb_noss
192,192,Children_Lit,"['Poetry\n509 users', 'Childrens\n350 users', 'Childrens > Picture Books\n191 users', 'Fiction\n178 users', 'Classics\n63 users', 'Young Adult\n44 users', 'Humor\n35 users', 'Childrens > Juvenile\n22 users', 'Inspirational\n17 users']",Published January 24th 2006 by HarperCollins (first published April 14th 1976),The Missing Piece,Shel Silverstein,9780060256715,112,4.24,"['51%', '29%', '14%', '4%', '2%']",29188,932,https://www.goodreads.com/book/show/30122.The_Missing_Piece,4.8,"['89%', '6%', '2%', '1%', '1%']",1336.0,272.0,https://www.amazon.it/s?k=9780060256715&i=stripbooks&__mk_it_IT=%C3%85M%C3%85%C5%BD%C3%95%C3%91&ref=nb_sb_noss
193,193,Children_Lit,"['Childrens > Picture Books\n943 users', 'Childrens\n350 users', 'Humor\n111 users', 'Fiction\n93 users', 'Animals\n90 users', 'Childrens > Storytime\n87 users', 'Animals > Birds\n35 users', 'Kids\n26 users', 'Fantasy\n21 users']",Published April 1st 2006 by Hyperion Books for Children,Don't Let the Pigeon Stay Up Late!,Mo Willems,9780786837465,40,4.31,"['57%', '25%', '13%', '4%', '2%']",36385,1050,https://www.goodreads.com/book/show/191117.Don_t_Let_the_Pigeon_Stay_Up_Late_,4.9,"['92%', '5%', '1%', '1%', '1%']",2762.0,419.0,https://www.amazon.it/s?k=9780786837465&i=stripbooks&__mk_it_IT=%C3%85M%C3%85%C5%BD%C3%95%C3%91&ref=nb_sb_noss
194,194,Children_Lit,"['Fantasy\n391 users', 'Childrens\n347 users', 'Fiction\n151 users', 'Classics\n147 users', 'Adventure\n61 users', 'Childrens > Middle Grade\n45 users', 'Fantasy > Magic\n37 users', 'Young Adult\n36 users', 'European Literature > British Literature\n16 users']",Published January 1st 2002 by Egmont Books Ltd (first published May 1939),The Enchanted Wood,Enid Blyton,9780749748005,213,4.22,"['51%', '29%', '14%', '4%', '2%']",26197,917,https://www.goodreads.com/book/show/17491.The_Enchanted_Wood,4.7,"['79%', '13%', '4%', '1%', '2%']",1648.0,476.0,https://www.amazon.it/s?k=9780749748005&i=stripbooks&__mk_it_IT=%C3%85M%C3%85%C5%BD%C3%95%C3%91&ref=nb_sb_noss
195,195,Children_Lit,"['Fantasy\n1,232 users', 'Young Adult\n654 users', 'Fiction\n520 users', 'Childrens > Middle Grade\n396 users', 'Adventure\n380 users', 'Childrens\n346 users', 'Adventure > Pirates\n177 users', 'Retellings\n167 users', 'Fantasy > Magic\n134 users']",Published May 1st 2006 by Disney-Hyperion (first published September 1st 2004),Peter and the Starcatchers,Dave Barry,9780786849079,452,4.03,"['38%', '36%', '19%', '5%', '2%']",74084,4996,https://www.goodreads.com/book/show/34262.Peter_and_the_Starcatchers,4.7,"['81%', '11%', '5%', '2%', '1%']",548.0,234.0,https://www.amazon.it/s?k=9780786849079&i=stripbooks&__mk_it_IT=%C3%85M%C3%85%C5%BD%C3%95%C3%91&ref=nb_sb_noss
196,196,Children_Lit,"['Childrens\n342 users', 'Humor\n248 users', 'Fiction\n209 users', 'Sequential Art > Graphic Novels\n165 users', 'Childrens > Middle Grade\n98 users', 'Sequential Art > Comics\n88 users', 'Childrens > Chapter Books\n86 users', 'Fantasy\n77 users', 'Literature > Banned Books\n57 users']",Published 2000 by Scholastic Children's Books (first published September 1st 1997),The Adventures of Captain Underpants,Dav Pilkey,9780439014571,125,3.96,"['45%', '24%', '19%', '7%', '5%']",46554,2603,https://www.goodreads.com/book/show/207266.The_Adventures_of_Captain_Underpants,4.7,"['84%', '9%', '4%', '1%', '1%']",3042.0,686.0,https://www.amazon.it/s?k=9780439014571&i=stripbooks&__mk_it_IT=%C3%85M%C3%85%C5%BD%C3%95%C3%91&ref=nb_sb_noss
197,197,Children_Lit,"['Mystery\n595 users', 'Childrens\n343 users', 'Fiction\n264 users', 'Young Adult\n102 users', 'Childrens > Middle Grade\n73 users', 'Childrens > Juvenile\n57 users', 'Childrens > Chapter Books\n56 users', 'Classics\n42 users', 'Short Stories\n32 users']",Published March 1st 1985 by Yearling (first published 1963),"Encyclopedia Brown, Boy Detective",Donald J. Sobol,9780553157246,128,4.03,"['40%', '32%', '22%', '4%', '2%']",39423,775,https://www.goodreads.com/book/show/789344.Encyclopedia_Brown_Boy_Detective,4.7,"['81%', '14%', '4%', '1%', '1%']",768.0,217.0,https://www.amazon.it/s?k=9780553157246&i=stripbooks&__mk_it_IT=%C3%85M%C3%85%C5%BD%C3%95%C3%91&ref=nb_sb_noss
198,198,Children_Lit,"['Childrens\n342 users', 'Fiction\n294 users', 'Adventure\n273 users', 'Mystery\n227 users', 'Classics\n142 users', 'Young Adult\n72 users', 'Childrens > Middle Grade\n52 users', 'European Literature > British Literature\n25 users', 'Novels\n24 users']",Published June 14th 2001 by Hodder (first published 1942),Five on a Treasure Island,Enid Blyton,9780340796146,256,4.08,"['40%', '35%', '20%', '4%', '2%']",28756,1231,https://www.goodreads.com/book/show/17488.Five_on_a_Treasure_Island,4.6,"['77%', '15%', '4%', '1%', '3%']",1459.0,272.0,https://www.amazon.it/s?k=9780340796146&i=stripbooks&__mk_it_IT=%C3%85M%C3%85%C5%BD%C3%95%C3%91&ref=nb_sb_noss
199,199,Children_Lit,"['Fantasy\n474 users', 'Childrens > Picture Books\n462 users', 'Childrens\n341 users', 'Fiction\n206 users', 'Sequential Art > Graphic Novels\n124 users', 'Horror\n88 users', 'Sequential Art > Comics\n79 users', 'Young Adult\n56 users', 'Animals\n41 users']",Published 2003 by HarperCollins,The Wolves in the Walls,Neil Gaiman,9780380810956,56,4.01,"['35%', '39%', '20%', '5%', '2%']",18002,1193,https://www.goodreads.com/book/show/22341.The_Wolves_in_the_Walls,4.7,"['83%', '12%', '3%', '1%', '2%']",444.0,159.0,https://www.amazon.it/s?k=9780380810956&i=stripbooks&__mk_it_IT=%C3%85M%C3%85%C5%BD%C3%95%C3%91&ref=nb_sb_noss
200,200,Romance,"['Romance\n9,545 users', 'Fiction\n3,982 users', 'Adult Fiction > Erotica\n3,146 users', 'Adult\n1,855 users', 'Erotica > BDSM\n1,757 users', 'Contemporary\n1,527 users', 'Womens Fiction > Chick Lit\n1,037 users', 'Romance > Contemporary Romance\n972 users', 'Romance > Erotic Romance\n800 users']",Published May 25th 2011 by Vintage,Fifty Shades of Grey,E.L. James,9781612130293,356,3.66,"['40%', '20%', '18%', '10%', '12%']",2141050,79782,https://www.goodreads.com/book/show/10818853-fifty-shades-of-grey,3.9,"['59%', '11%', '10%', '7%', '14%']",47400.0,35144.0,https://www.amazon.it/s?k=9781612130293&i=stripbooks&__mk_it_IT=%C3%85M%C3%85%C5%BD%C3%95%C3%91&ref=nb_sb_noss
201,201,Romance,"['Romance\n8,582 users', 'Fiction\n6,314 users', 'Contemporary\n3,559 users', 'Womens Fiction > Chick Lit\n2,029 users', 'Adult\n1,399 users', 'Adult Fiction\n841 users', 'Audiobook\n687 users', 'Romance > Contemporary Romance\n569 users', 'Drama\n546 users']",Published July 30th 2013 by Penguin Books (first published December 31st 2012),Me Before You,Jojo Moyes,9780143124542,369,4.25,"['49%', '33%', '13%', '3%', '2%']",1295613,86047,https://www.goodreads.com/book/show/17347634-me-before-you,4.7,"['78%', '15%', '4%', '1%', '1%']",33630.0,25185.0,https://www.amazon.it/s?k=9780143124542&i=stripbooks&__mk_it_IT=%C3%85M%C3%85%C5%BD%C3%95%C3%91&ref=nb_sb_noss
202,202,Romance,"['Young Adult\n12,337 users', 'Romance\n8,083 users', 'Contemporary\n4,700 users', 'Fiction\n4,279 users', 'Realistic Fiction\n1,295 users', 'Audiobook\n944 users', 'Young Adult > Teen\n761 users', 'Young Adult > Coming Of Age\n702 users', 'Young Adult > Young Adult Contemporary\n532 users']",Published February 26th 2013 by St. Martin's Press (first published April 12th 2012),Eleanor & Park,Rainbow Rowell,9781250012579,328,4.01,"['40%', '33%', '18%', '6%', '3%']",971439,70160,https://www.goodreads.com/book/show/15745753-eleanor-park,4.5,"['71%', '18%', '7%', '2%', '2%']",7423.0,3741.0,https://www.amazon.it/s?k=9781250012579&i=stripbooks&__mk_it_IT=%C3%85M%C3%85%C5%BD%C3%95%C3%91&ref=nb_sb_noss
203,203,Romance,"['Young Adult\n8,820 users', 'Romance\n7,548 users', 'Science Fiction > Dystopia\n5,759 users', 'Fantasy\n3,492 users', 'Fiction\n1,837 users', 'Science Fiction\n829 users', 'Audiobook\n598 users', 'Young Adult > Teen\n512 users', 'Womens Fiction > Chick Lit\n450 users']",Published April 24th 2012 by HarperTeen,The Selection,Kiera Cass,9780062059932,336,4.11,"['46%', '29%', '16%', '5%', '3%']",1105840,58001,https://www.goodreads.com/book/show/10507293-the-selection,4.6,"['75%', '16%', '6%', '2%', '2%']",6964.0,3582.0,https://www.amazon.it/s?k=9780062059932&i=stripbooks&__mk_it_IT=%C3%85M%C3%85%C5%BD%C3%95%C3%91&ref=nb_sb_noss
204,204,Romance,"['Romance\n7,490 users', 'Contemporary\n2,468 users', 'Fiction\n1,991 users', 'Adult\n964 users', 'Womens Fiction > Chick Lit\n901 users', 'Romance > Contemporary Romance\n844 users', 'Audiobook\n608 users', 'Adult Fiction\n327 users', 'Writing > Books About Books\n163 users']",Published May 19th 2020 by Berkley,Beach Read,Emily Henry,9781984806734,361,4.06,"['35%', '42%', '19%', '4%', '1%']",259434,33447,https://www.goodreads.com/book/show/52867387-beach-read,4.3,"['55%', '27%', '13%', '3%', '2%']",12144.0,834.0,https://www.amazon.it/s?k=9781984806734&i=stripbooks&__mk_it_IT=%C3%85M%C3%85%C5%BD%C3%95%C3%91&ref=nb_sb_noss
205,205,Romance,"['Classics\n42,522 users', 'Fiction\n11,806 users', 'Romance\n7,155 users', 'Historical > Historical Fiction\n2,575 users', 'Gothic\n2,166 users', 'Literature\n2,067 users', 'Historical\n1,422 users', 'Literature > 19th Century\n1,096 users', 'Academic > School\n1,081 users']",Published February 4th 2003 by Penguin (first published October 16th 1846),Jane Eyre,Charlotte Brontë,9780142437209,532,4.13,"['46%', '31%', '16%', '5%', '3%']",1765545,47593,https://www.goodreads.com/book/show/10210.Jane_Eyre,4.6,"['76%', '13%', '5%', '2%', '3%']",12834.0,4478.0,https://www.amazon.it/s?k=9780142437209&i=stripbooks&__mk_it_IT=%C3%85M%C3%85%C5%BD%C3%95%C3%91&ref=nb_sb_noss
206,206,Romance,"['Romance\n6,605 users', 'Adult Fiction > Erotica\n2,238 users', 'Fiction\n2,097 users', 'Erotica > BDSM\n1,324 users', 'Adult\n1,276 users', 'Contemporary\n996 users', 'Romance > Contemporary Romance\n721 users', 'Womens Fiction > Chick Lit\n680 users', 'Romance > Erotic Romance\n583 users']",Published September 16th 2011 by The Writer's Coffee Shop Publishing House (first published September 13th 2011),Fifty Shades Darker,E.L. James,9781612130583,532,3.84,"['41%', '24%', '19%', '10%', '6%']",799432,29506,https://www.goodreads.com/book/show/11857408-fifty-shades-darker,4.4,"['72%', '12%', '8%', '4%', '5%']",27546.0,18538.0,https://www.amazon.it/s?k=9781612130583&i=stripbooks&__mk_it_IT=%C3%85M%C3%85%C5%BD%C3%95%C3%91&ref=nb_sb_noss
207,207,Romance,"['Romance\n6,447 users', 'Romance > Historical Romance\n3,929 users', 'Historical\n2,032 users', 'Historical > Historical Fiction\n2,008 users', 'Fiction\n1,043 users', 'Historical > Regency\n599 users', 'Adult\n564 users', 'Audiobook\n433 users', 'Historical Romance > Regency Romance\n308 users']",Published June 27th 2006 by Avon Books (first published January 1st 2000),The Duke and I,Julia Quinn,9780380800827,384,3.85,"['30%', '37%', '24%', '7%', '3%']",228141,18842,https://www.goodreads.com/book/show/110391.The_Duke_and_I,4.5,"['68%', '20%', '9%', '2%', '2%']",27348.0,1561.0,https://www.amazon.it/s?k=9780380800827&i=stripbooks&__mk_it_IT=%C3%85M%C3%85%C5%BD%C3%95%C3%91&ref=nb_sb_noss
208,208,Romance,"['Young Adult\n6,389 users', 'Romance\n6,115 users', 'Contemporary\n3,949 users', 'Womens Fiction > Chick Lit\n1,064 users', 'Fiction\n1,006 users', 'Realistic Fiction\n551 users', 'Romance > Contemporary Romance\n466 users', 'Young Adult > Young Adult Contemporary\n460 users', 'Young Adult > Young Adult Romance\n357 users']",Published December 2nd 2010 by Dutton Juvenile,Anna and the French Kiss,Stephanie Perkins,9780525423270,372,4.0,"['43%', '30%', '17%', '6%', '5%']",400088,31545,https://www.goodreads.com/book/show/6936382-anna-and-the-french-kiss,4.6,"['73%', '16%', '7%', '2%', '2%']",1930.0,880.0,https://www.amazon.it/s?k=9780525423270&i=stripbooks&__mk_it_IT=%C3%85M%C3%85%C5%BD%C3%95%C3%91&ref=nb_sb_noss
209,209,Romance,"['Romance\n5,922 users', 'Adult Fiction > Erotica\n2,023 users', 'Fiction\n1,771 users', 'Erotica > BDSM\n1,207 users', 'Adult\n1,123 users', 'Contemporary\n901 users', 'Romance > Contemporary Romance\n642 users', 'Womens Fiction > Chick Lit\n615 users', 'Romance > Erotic Romance\n533 users']",Published April 17th 2012 by Vintage Books,Fifty Shades Freed,E.L. James,9780345803504,579,3.84,"['42%', '23%', '19%', '9%', '7%']",763308,26706,https://www.goodreads.com/book/show/13536860-fifty-shades-freed,4.4,"['73%', '11%', '8%', '3%', '5%']",27350.0,18028.0,https://www.amazon.it/s?k=9780345803504&i=stripbooks&__mk_it_IT=%C3%85M%C3%85%C5%BD%C3%95%C3%91&ref=nb_sb_noss
210,210,Romance,"['Classics\n29,458 users', 'Plays\n10,500 users', 'Fiction\n6,515 users', 'Romance\n5,760 users', 'Academic > School\n3,784 users', 'Drama\n3,167 users', 'Academic > Read For School\n1,850 users', 'Literature\n1,533 users', 'Young Adult > High School\n1,285 users']",Published 2002 by Washington Square Press (first published 1597),Romeo and Juliet,William Shakespeare,9780743477116,281,3.75,"['30%', '31%', '27%', '9%', '4%']",2210213,21733,https://www.goodreads.com/book/show/18135.Romeo_and_Juliet,4.6,"['79%', '12%', '4%', '1%', '3%']",1719.0,169.0,https://www.amazon.it/s?k=9780743477116&i=stripbooks&__mk_it_IT=%C3%85M%C3%85%C5%BD%C3%95%C3%91&ref=nb_sb_noss
211,211,Romance,"['Romance\n5,676 users', 'Contemporary\n1,812 users', 'Fiction\n1,005 users', 'Adult\n822 users', 'Romance > Contemporary Romance\n619 users', 'Audiobook\n567 users', 'Womens Fiction > Chick Lit\n424 users', 'Disability\n224 users', 'Adult Fiction\n221 users']",Published November 5th 2019 by Avon,"Get a Life, Chloe Brown",Talia Hibbert,9780062941206,373,3.87,"['27%', '42%', '24%', '6%', '1%']",89141,15992,https://www.goodreads.com/book/show/43884209-get-a-life-chloe-brown,4.3,"['57%', '25%', '12%', '4%', '2%']",3051.0,325.0,https://www.amazon.it/s?k=9780062941206&i=stripbooks&__mk_it_IT=%C3%85M%C3%85%C5%BD%C3%95%C3%91&ref=nb_sb_noss
212,212,Romance,"['Young Adult\n6,123 users', 'Romance\n5,376 users', 'Science Fiction > Dystopia\n4,220 users', 'Fantasy\n2,108 users', 'Fiction\n1,197 users', 'Science Fiction\n509 users', 'Audiobook\n426 users', 'Young Adult > Teen\n340 users', 'Womens Fiction > Chick Lit\n281 users']",Published April 23rd 2013 by HarperTeen,The Elite,Kiera Cass,9780062059963,336,3.99,"['38%', '33%', '20%', '6%', '2%']",539738,33805,https://www.goodreads.com/book/show/16248068-the-elite,4.6,"['73%', '16%', '7%', '2%', '1%']",7504.0,2574.0,https://www.amazon.it/s?k=9780062059963&i=stripbooks&__mk_it_IT=%C3%85M%C3%85%C5%BD%C3%95%C3%91&ref=nb_sb_noss
213,213,Romance,"['Young Adult\n5,516 users', 'Romance\n4,974 users', 'Science Fiction > Dystopia\n3,651 users', 'Fantasy\n1,893 users', 'Fiction\n1,060 users', 'Science Fiction\n450 users', 'Audiobook\n405 users', 'Young Adult > Teen\n288 users', 'Womens Fiction > Chick Lit\n286 users']",Published May 6th 2014 by HarperTeen,The One,Kiera Cass,9780062059994,323,4.18,"['48%', '30%', '16%', '4%', '2%']",481748,33185,https://www.goodreads.com/book/show/18635016-the-one,4.7,"['77%', '15%', '6%', '1%', '1%']",7213.0,2706.0,https://www.amazon.it/s?k=9780062059994&i=stripbooks&__mk_it_IT=%C3%85M%C3%85%C5%BD%C3%95%C3%91&ref=nb_sb_noss
214,214,Romance,"['Romance\n4,934 users', 'Contemporary\n1,709 users', 'Fiction\n1,378 users', 'Womens Fiction > Chick Lit\n986 users', 'Audiobook\n589 users', 'Adult\n567 users', 'Romance > Contemporary Romance\n537 users', 'Adult Fiction\n219 users', 'European Literature > British Literature\n117 users']",Published April 18th 2019 by Quercus (first published April 10th 2019),The Flatshare,Beth O'Leary,9781787474406,394,4.09,"['36%', '42%', '17%', '3%', '1%']",186119,23632,https://www.goodreads.com/book/show/36478784-the-flatshare,4.4,"['63%', '24%', '9%', '2%', '2%']",17864.0,1857.0,https://www.amazon.it/s?k=9781787474406&i=stripbooks&__mk_it_IT=%C3%85M%C3%85%C5%BD%C3%95%C3%91&ref=nb_sb_noss
215,215,Romance,"['Romance\n4,779 users', 'Contemporary\n1,453 users', 'Fiction\n1,012 users', 'Romance > Contemporary Romance\n693 users', 'Adult\n630 users', 'Womens Fiction > Chick Lit\n444 users', 'Audiobook\n359 users', 'Adult Fiction\n205 users', 'New Adult\n167 users']",Published May 7th 2019 by Berkley,The Bride Test,Helen Hoang,9780451490827,296,3.89,"['28%', '41%', '24%', '5%', '2%']",89433,12067,https://www.goodreads.com/book/show/39338454-the-bride-test,4.4,"['60%', '25%', '11%', '3%', '2%']",1806.0,350.0,https://www.amazon.it/s?k=9780451490827&i=stripbooks&__mk_it_IT=%C3%85M%C3%85%C5%BD%C3%95%C3%91&ref=nb_sb_noss
216,216,Romance,"['Romance\n4,425 users', 'Adult Fiction > Erotica\n1,637 users', 'Contemporary\n884 users', 'Adult\n788 users', 'Romance > Contemporary Romance\n771 users', 'Fiction\n527 users', 'Romance > Erotic Romance\n523 users', 'Erotica > BDSM\n463 users', 'New Adult\n291 users']",Published February 4th 2014 by Berkley (first published April 3rd 2012),Bared to You,Sylvia Day,9780425276761,334,4.17,"['51%', '27%', '15%', '5%', '3%']",479189,18911,https://www.goodreads.com/book/show/20448515-bared-to-you,4.4,"['68%', '15%', '9%', '4%', '5%']",11774.0,7977.0,https://www.amazon.it/s?k=9780425276761&i=stripbooks&__mk_it_IT=%C3%85M%C3%85%C5%BD%C3%95%C3%91&ref=nb_sb_noss
217,217,Romance,"['Young Adult\n14,542 users', 'Fantasy > Paranormal\n4,872 users', 'Romance\n4,379 users', 'Fantasy > Urban Fantasy\n3,729 users', 'Fiction\n3,154 users', 'Paranormal > Vampires\n2,199 users', 'Fantasy > Supernatural\n1,709 users', 'Paranormal > Angels\n1,440 users', 'Fantasy > Magic\n1,413 users']",Published March 27th 2007 by Margaret K. McElderry Books,City of Bones,Cassandra Clare,9781416914280,485,4.09,"['46%', '29%', '17%', '5%', '3%']",1759894,66196,https://www.goodreads.com/book/show/256683.City_of_Bones,4.6,"['73%', '16%', '7%', '2%', '2%']",8477.0,4558.0,https://www.amazon.it/s?k=9781416914280&i=stripbooks&__mk_it_IT=%C3%85M%C3%85%C5%BD%C3%95%C3%91&ref=nb_sb_noss
218,218,Romance,"['Romance\n4,345 users', 'Romance > Historical Romance\n3,366 users', 'Historical\n1,537 users', 'Historical > Historical Fiction\n1,170 users', 'Fiction\n629 users', 'Historical > Regency\n485 users', 'Adult\n384 users', 'Audiobook\n269 users', 'Historical Romance > Regency Romance\n248 users']",Published June 27th 2006 by Avon (first published December 5th 2000),The Viscount Who Loved Me,Julia Quinn,9780380815579,354,4.07,"['35%', '41%', '20%', '3%', '1%']",148634,11145,https://www.goodreads.com/book/show/861326.The_Viscount_Who_Loved_Me,4.6,"['69%', '21%', '8%', '1%', '1%']",20018.0,924.0,https://www.amazon.it/s?k=9780380815579&i=stripbooks&__mk_it_IT=%C3%85M%C3%85%C5%BD%C3%95%C3%91&ref=nb_sb_noss
219,219,Romance,"['Romance\n4,234 users', 'Fantasy > Paranormal\n3,760 users', 'Paranormal > Vampires\n3,274 users', 'Romance > Paranormal Romance\n3,026 users', 'Fantasy\n2,293 users', 'Fantasy > Urban Fantasy\n1,090 users', 'Adult\n873 users', 'Fiction\n572 users', 'Fantasy > Supernatural\n443 users']",Published September 6th 2005 by Penguin Group (USA) (first published February 19th 2005),Dark Lover,J.R. Ward,9780451216953,393,4.16,"['50%', '27%', '15%', '5%', '3%']",314365,13819,https://www.goodreads.com/book/show/42899.Dark_Lover,4.5,"['73%', '15%', '7%', '3%', '2%']",5091.0,2085.0,https://www.amazon.it/s?k=9780451216953&i=stripbooks&__mk_it_IT=%C3%85M%C3%85%C5%BD%C3%95%C3%91&ref=nb_sb_noss
220,220,Romance,"['Young Adult\n5,775 users', 'Romance\n4,166 users', 'Contemporary\n3,485 users', 'Fiction\n1,776 users', 'Realistic Fiction\n721 users', 'Audiobook\n430 users', 'Young Adult > Young Adult Contemporary\n402 users', 'Young Adult > Teen\n320 users', 'Young Adult > Coming Of Age\n254 users']",Published September 1st 2015 by Delacorte Books for Young Readers,"Everything, Everything",Nicola Yoon,9780553496642,306,4.03,"['39%', '35%', '19%', '5%', '2%']",461559,41510,https://www.goodreads.com/book/show/18692431-everything-everything,4.6,"['76%', '15%', '6%', '1%', '2%']",6327.0,2187.0,https://www.amazon.it/s?k=9780553496642&i=stripbooks&__mk_it_IT=%C3%85M%C3%85%C5%BD%C3%95%C3%91&ref=nb_sb_noss
221,221,Romance,"['Young Adult\n6,952 users', 'Contemporary\n4,522 users', 'LGBT\n4,486 users', 'Romance\n4,072 users', 'Fiction\n1,850 users', 'GLBT > Queer\n1,000 users', 'Audiobook\n805 users', 'Realistic Fiction\n730 users', 'Young Adult > Coming Of Age\n501 users']",Published April 7th 2015 by Balzer + Bray,Simon vs. the Homo Sapiens Agenda,Becky Albertalli,9780062348678,303,4.24,"['48%', '34%', '13%', '3%', '2%']",347542,34812,https://www.goodreads.com/book/show/19547856-simon-vs-the-homo-sapiens-agenda,4.7,"['82%', '12%', '4%', '1%', '1%']",4341.0,1416.0,https://www.amazon.it/s?k=9780062348678&i=stripbooks&__mk_it_IT=%C3%85M%C3%85%C5%BD%C3%95%C3%91&ref=nb_sb_noss
